대화셋일련번호,고객질문(요청),상담사질문(요청),고객답변,상담사답변,정상여부
A32430,,,,신차를 구입하는 고객으로 소득 증빙이 가능한 만 19세 이상의 고객을 대상으로 하고 있습니다. 대출대상은 6개월 이상 근무하신 근로소득자 입니다,0
A32430,,,아 그럼 대출 가능할 것 같아요,,0
A32430,대출금액은 얼마나 받을 수 있나요?,,,,0
A32430,,,,차량 판매가격 내에서 최저 3백만원부터 최고 5천만원까지 대출 가능합니다.,0
A32430,어떻게 신청하나요?,,,,0
A32430,,,,당사에 직접 방문하셔도 되고 홈페이지에서 신청하시면 되세요,0
A32430,비대면 전용이면 온라인으로 신청하라는 거죠?,,,,0
A32430,,,,"네, 인터넷뱅킹이나 스마트폰뱅킹으로 신청하시면 됩니다.",0
A32430,대출기간은 어떻게 되나요?,,,,0
A32430,,,,최소 1년부터 최대 10년까지 원리금균등분할 상환조건입니다.,0
A32430,혹시 중고차를 사는 경우에도 대출이 되나요?,,,,0
A32430,,,,"네, 가능합니다. 단 자동차매매업자가 알선하지 않은 개인간 매매거래 제외됩니다.",0
A32430,,,네 안내 감사합니다,,0
A32430,,,,더 문의주실 사항 있으신가요?,0
A32430,,,없습니다 감사합니다,,0
A32431,적금담보 대출 문의 합니다,,,,0
A32431,적금담보로 대출 받을 수 있나요?,,,,0
A32431,,,,네 받으실 수 있습니다,0
A32431,모바일로 신청 가능한가요?,,,,0
A32431,,인터넷 뱅킹 가입 되있으신가요?,,,0
A32431,,,네 가입했어요,,0
A32431,,,,그럼 신청 가능합니다,0
A32431,영업점 금리와 차이가 있을까요?,,,,0
A32431,,,,네 다릅니다,0
A32431,인터넷으로 하면 우대금리가 적용되나요?,,,,0
A32431,,,,네 인터넷으로 신청 할 경우 0.1% 우대 금리를 드립니다,0
A32431,한도는 얼마나 되나요?,,,,0
A32431,,,,현재까지 납입 금액의 90%까지 받을 수 있습니다,0
A32431,신청은 아무때나 할 수 있나요?,,,,0
A32431,,,,예금 가입후 1일이 경과해야 신청 가능 합니다,0
A32431,대출 최소 금액이 정해져 있나요?,,,,0
A32431,,,,네 정해져 있습니다,0
A32431,얼마부터 가능한가요?,,,,0
A32431,,,,100만원 입니다,0
A32431,,,네 감사합니다,,0
A32432,담보대출 관련 문의드릴게 있는데요,,,,0
A32432,"아파트 담보대출이 가능한지 알아보고 싶은데, 인터넷으로 가능해요?",,,,0
A32432,,,,네 인터넷으로 조회 가능합니다,0
A32432,,저희 은행 고객이신가요?,,,0
A32432,,,네 그렇습니다,,0
A32432,,인터넷뱅킹 이용도 하고 계신가요?,,,0
A32432,,,네 하고 있어요,,0
A32432,,,,인터넷대출-주택금융대출에서 가능여부와 금리를 확인 할 수 있습니다,0
A32432,확인이 되면 인터넷으로 대출을 받는 건가요?,,,,0
A32432,,,,승인여부가 확인되시면 희망 영업점을 선택하셔서 내점하시면 됩니다,0
A32432,본인이 직접 가야하나요?,,,,0
A32432,,,,네 직접 내방하셔야 합니다,0
A32432,영업점에서 대출금액이 달라질 수도 있나요?,,,,0
A32432,,,,네 달라질 수도 있습니다,0
A32432,어떤 경우에 그런가요?,,,,0
A32432,,,,고객님이 기입하신 내용과 서류가 불일치 할 경우 입니다,0
A32432,방문 영업점을 나중에 변경 할 수 있나요?,,,,0
A32432,,,,네 변경 가능합니다,0
A32432,어디서 변경하죠?,,,,0
A32432,,,,고객센터에 전화하셔서 변경하시면 됩니다,0
A32433,인터넷으로 신용대출하려구요.,,,,0
A32433,,,,"네, 인터넷 대출신청을 도와드릴께요.",0
A32433,,어떤 대출을 신청하셨나요?,,,0
A32433,,,생활비 대출신청했어요.,,0
A32433,네 무슨 문제 있으신가요?,,,,0
A32433,신분증 사본까지 접수했는데 그 다음에 뭘 해야 하나요?,,,,0
A32433,,,,고객님의 신용등급을 확인후 승인여부에 대한 답변을 받으실 거에요.,0
A32433,,,네 알겠습니다.,,0
A32433,,또 궁금한 사항이 있으신가요?,,,0
A32433,대출한도가 어떻게 되나요?,,,,0
A32433,,,,본 상품은 최대한도 200만원입니다.,0
A32433,대출 승인이 되면 언제 돈이 들어오나요?,,,,0
A32433,,,,"승인되면, 즉시 지정하신 계좌로 입금됩니다.",0
A32433,혹시 대출이 거절되면요?,,,,0
A32433,,,,거절되는 경우에는 문자를 받으시게 될 것입니다.,0
A32433,,,네 알겠습니다,,0
A32433,거절되는 경우 사유를 알 수 있나요?,,,,0
A32433,,,,"모바일로 접수하시는 경우에 따로 사유를 알려드리진 않고, 직접 전화 주셔야 합니다",0
A32433,,,네 알겠습니다.,,0
A32433,,,,네 감사합니다,0
A32434,현금서비스 문의 드립니다,,,,0
A32434,,네 고객님 현금서비스 관련 어떤 문의 주시겠어요?,,,0
A32434,현금서비스를 받았는데 미리 결제가 되나요?,,,,0
A32434,,,,네 가능합니다,0
A32434,,선결제 문의 하시는거죠?,,,0
A32434,,,네 그렇습니다,,0
A32434,,선결제 수수료는 어떻게 계산되나요?,,,0
A32434,,,,선결제 수수료는 이용금액x사용일x연이율로 계산됩니다,0
A32434,연이율은 어떻게 되나요?,,,,0
A32434,,,,연이율은 신용등급 소득수준 등 고객별로 상이해서 모두 다릅니다,0
A32434,제 연이율은 어떻게 조회할 수 있나요?,,,,0
A32434,,혹시 저희 은행 홈페이지에 가입하신 회원이신가요?,,,0
A32434,,,아뇨 안했습니다,,0
A32434,,명세표는 받아보시고요?,,,0
A32434,,,네 받고있어요,,0
A32434,,,,그러면 고객님 명세표에 기입되어 있으십니다,0
A32434,,,아 그렇군요,,0
A32434,,,,다른 문의사항 있으신가요?,0
A32434,,,아뇨 없어요,,0
A32434,,,,네 감사합니다,0
A32435,대출금 상환 관련 문의드릴게 있는데요,,,,0
A32435,모바일뱅킹으로도 상환이 가능한가요?,,,,0
A32435,,,,네 모바일로 대출상환 가능하십니다,0
A32435,,,아 그렇네요,,0
A32435,대출 메뉴에서 바로 되나요?,,,,0
A32435,,,,대출메뉴 아래 원금상환 메뉴를 클릭해 주시면 됩니다.,0
A32435,,,네 알겠습니다.,,0
A32435,원금 상환은 입출금계좌에서 빠져나가도록 하나요?,,,,0
A32435,,,,"네, 당행의 입출금계좌에서 상환금액이 빠져나갑니다.",0
A32435,타행계좌로 원금상환은 안되나요?,,,,0
A32435,,,,"네 바로는 안되시고, 번거롭지만 타행계좌에서 당행으로 송금하시고 진행하셔야 합니다",0
A32435,,,정말 번거롭군요,,0
A32435,중도상환수수료가 있나요?,,,,0
A32435,,대출하신지 얼마나 되셨나요?,,,0
A32435,,,3년 좀 넘었습니다.,,0
A32435,,대출 약정기간은 얼마동안이세요?,,,0
A32435,,,5년 입니다,,0
A32435,,,,3년이 지나셨으면 중도상환수수료는 따로 부과되지 않습니다.,0
A32435,중도상환시 신용등급에도 영향을 미치나요?,,,,0
A32435,,,,긍정적 영향은 미칩니다,0
A32436,보험계약 대출 신청하려고 하는데요,,,,0
A32436,,대출받아도 보험에서 보험금 수령이 가능한가요?,,,0
A32436,,,,네 가능하십니다,0
A32436,이자는 어떻게 지불하나요?,,,,0
A32436,,,,"자동이체 하실 수도 있고, 직접 납부하는 방식도 있습니다",0
A32436,통장에 미처 돈을 이체 못해서 잔고가 없을 경우엔 어떡하죠?,,,,0
A32436,,,,고객센터로 전화주시면 고객님 명의로 된 가상계좌를 보내드립니다,0
A32436,인터넷이나 모바일로 하는 방법은 없어요?,,,,0
A32436,,,,당행 모바일뱅킹앱을 다운받으시면 편하게 진행할 수 있습니다,0
A32436,어떻게 하는건가요?,,,,0
A32436,,,,앱에 접속하셔서 이자지급란에서 절차대로 진행하시면 됩니다,0
A32436,통장은 제 계좌만 되는건가요?,,,,0
A32436,,,,네 고객님,0
A32436,기존에 납부하던 계좌로만 가능한가요?,,,,0
A32436,,,,"변경하시려면, 고객센터로 문의주시고 몇가지 서류 제출하시면 됩니다",0
A32436,,,알겠습니다,,0
A32436,,더 궁금하신건 없나요?,,,0
A32436,,,네 이정도면 충분해요,,0
A32436,,,,네 감사합니다 상담 종료 하겠습니다,0
A32436,,,네 감사합니다,,0
A32437,주택담보대출이 가능한지 알고 싶어요.,,,,0
A32437,,주택 종류가 어떻게 되시나요?,,,0
A32437,,,아파트 입니다,,0
A32437,,아파트 구입 관련 중도금이나 잔금 대출이신가요?,,,0
A32437,,,아닙니다. 자가용 주택을 담보로 대출하려고 하는데요,,0
A32437,,,,그러시면 소득증빙자료가 필요합니다,0
A32437,어떤 자료죠?,,,,0
A32437,,,,전기 직장급여나 사업소득관련자료를 제출하셔야 합니다,0
A32437,대출한도는 어떻게 되나요?,,,,0
A32437,,,,연에 1억정도 됩니다,0
A32437,,,아파트 시세랑 상관없이 정해진 한도금액인가요?,,0
A32437,,,,"아파트 구입시에는 금액 변동이 있지만, 주택을 담보로 대출하는 경우엔 동일합니다",0
A32437,,,흠 그렇군요,,0
A32437,,,,국토부에서 정한 방침이기 때문에 그렇습니다,0
A32437,,,네 알겠어요.,,0
A32437,신청은 어떻게 할 수 있나요?,,,,0
A32437,,,,"네, 소득증빙자료와 아파트 등기부등본을 지참하셔서 영업점을 방문해 주시면 됩니다.",0
A32437,,,알겠습니다.,,0
A32437,,다른 문의사항 있으신가요?,,,0
A32437,,,없습니다.,,0
A32438,마이너스통장으로 대출 가능할까요?,,,,0
A32438,,마이너스 통장은 있으신가요?,,,0
A32438,,,없어요,,0
A32438,어떻게 만들면 되나요?,,,,0
A32438,,,,영업점을 방문해 주시거나 인터넷뱅킹에서 신청하실 수도 있습니다. ,0
A32438,필요한 서류가 있나요?,,,,0
A32438,,,,"신분증사본, 재직증명서,그리고 급여증명서 입니다",0
A32438,,,저는 직장이 없는데요.,,0
A32438,재직증명서는 필수인가요?,,,,0
A32438,,,,재직증명서가 없으면 사업자 등록증만 있어도 괜찮습니다,0
A32438,,,그것도 없는데요,,0
A32438,,,,그런 경우에는 소득금액증명원과 고객님의 신용도에 따라 마이너스 통장 개설여부가 결정됩니다.,0
A32438,얼마까지 받을 수 있을까요?,,,,0
A32438,,,,"신용도 조회가 필요하기 때문에, 전화상담보단 영업점에 직접 방문하시길 권유드립니다",0
A32438,요즘 마이너스 통장 대출금리는 어느정도 되나요?,,,,0
A32438,,,, 보통 최저 2%에서 최대 4% 사이입니다.,0
A32438,,,네 알겠습니다.,,0
A32438,저희 집에서 가까운 영업점 안내해 주시겠어요?,,,,0
A32438,,,,전화주신 연락처로 문자 발송해드렸습니다,0
A32438,,,네 감사합니다,,0
A32439,주택청약으로 담보 대출 가능할까요?,,,,0
A32439,,,,네 대출 가능합니다,0
A32439,얼마까지 빌려주나요?,,,,0
A32439,,,,"중도금 납부하면 진행이 가능하고, 예금액의 80%까지 드립니다",0
A32439,,,그렇군요.,,0
A32439,이자는 얼마쯤 되나요?,,,,0
A32439,,,,신용등급에 따라 달라지는데 보통 3.2%정도 됩니다,0
A32439,대출신청은 어떻게 하나요?,,,,0
A32439,,,,인터넷뱅킹에서 신청하시면 됩니다,0
A32439,,,편하네요,,0
A32439,,지금 신청하도록 도와드릴까요?,,,0
A32439,,,"네, 도와주세요.",,0
A32439,,우선 인터넷 뱅킹 접속하시겠어요?,,,0
A32439,,,"네, 잠시만요.",,0
A32439,,,,천천히 진행해도 됩니다,0
A32439,,,"네, 접속했어요.",,0
A32439,,,,대출매뉴에서 예금담보대출을 클릭해주세요,0
A32439,,,그 다음은요?,,0
A32439,,,,대출금액을 넣으시고 신청하시면 됩니다. 추후 심사를 통해서 금액이 조정될 수 있는 부분 양지해주시기 바랍니다,0
A32439,,,"네, 감사합니다.",,0
A32440,대출 일부 상환 문의 드립니다,,,,0
A32440,,네 대출관련 어떤 문의 주시겠어요?,,,0
A32440,,,일부상환하려고 하는데요,,0
A32440,,가상계좌는 받으셨나요?,,,0
A32440,,,네 어제 받았어요,,0
A32440,,네 혹시 상환을 못하셔서 기존 가상계좌로 입금이 안되서 그러시나요?,,,0
A32440,,,네 맞아요,,0
A32440,,,,그러시면 가상계좌를 다시 받으셔야 합니다,0
A32440,왜 다시 받아야 하나요?,,,,0
A32440,,,,하루 경과하게 되면 이자가 달라지기 떄문에 그렇습니다 고객님,0
A32440,그럼 가상계좌를 다시 보내주시겠어요?,,,,0
A32440,어제 드린대로 고객님 연락처로 문자 발송하면 되겠습니까?,,,,0
A32440,,,네 그렇게 부탁드려요,,0
A32440,,,,"금일에 이체를 못하시면, 추가로 이자가 붙는 부분 양지해주시길 바랍니다",0
A32440,,,네 알겠습니다,,0
A32440,,중도에 전액상환하면 어떻게 되나요?,,,0
A32440,,,,중도상환수수료가 발생할 수 있습니다.,0
A32440,,,그렇군요.,,0
A32440,,,,추가문의사항 있으십니까?,0
A32440,,,아뇨 괜찮아요,,0
A32441,대출 문의좀 드릴게요,,,,0
A32441,,네 대출관련 무엇을 도와드릴까요?,,,0
A32441,지금 중소기업에 다니고 있는데 대출이 얼마나 될까요?,,,,0
A32441,,직장에 근무하신지 얼마나 되셨나요?,,,0
A32441,,,6개월 정도 된 것 같아요,,0
A32441,,,,"고객님, 직장인 대출은 최소 6개월 이상 근무하셔야 신청 가능하신데, 조건에 부합하시네요",0
A32441,,,그렇군요.,,0
A32441,,대출 신청 서류는 뭐가 필요해요?,,,0
A32441,,,,"재직증명서, 신분증사본, 소득증명서를 지참하셔서 영업점에 방문하시면 됩니다",0
A32441,한도는 얼마정도 될까요?,,,,0
A32441,,,,신용등급 등에 따라 변동이 있어서 심사 후에 알려드릴 수 있습니다,0
A32441,연봉 3천만원 정도인데 얼마인지 알 수 없나요?,,,,0
A32441,,,,연봉이나 소득으로만 알 수 있는 부분이 아니라 확인이 어렵습니다,0
A32441,,,그렇군요.,,0
A32441,그럼 대출신청후 승인까지는 얼마나 걸리나요?,,,,0
A32441,,,,서류만 제출되시면 심사후에 당일에도 바로 알려드릴 수 있습니다,0
A32441,다른 대출이 있으면 한도에 영향이 있나요?,,,,0
A32441,,,,네 대출만큼 한도가 줄어들 수 있습니다,0
A32441,,,네 알겠습니다.,,0
A32441,,,,네 그럼 언제든지 궁금한 사항이 있으면 문의해 주세요.,0
A32442,든든학자금대출 받고 싶은데요,,,,0
A32442,,현재 학부생이신가요?,,,0
A32442,,,네 4학년 입니다,,0
A32442,,,,한국장학재단에서 대출신청 가능하세요,0
A32442,이자는 얼마나 되나요?,,,,0
A32442,,,,현재 기준으로 2.2% 입니다,0
A32442,이자는 언제 내나요?,,,,0
A32442,,,,일반학자금대출이 아니셔서 취업 전까지 이자지급은 유예해드립니다.,0
A32442,원금상환은 어떻게 하나요?,,,,0
A32442,,,,원리금균등방식으로 하셨으면 취업이후 이자와 함께 상환하게 되십니다,0
A32442,대출기간은 얼마나 되나요?,,,,0
A32442,,,,"거치기간 상환기간 각 10년씩, 최대 20년입니다",0
A32442,거치기간이 무슨 뜻이에요?,,,,0
A32442,,,,거치기간이란 이자만 납입하는 기간을 의미합니다. ,0
A32442,부모님 동의를 받아야 하나요?,,,,0
A32442,,,,따로 부모님 동의절차를 구할 필욘 없습니다,0
A32442,,,네 알겠습니다.,,0
A32442,모바일로도 신청 가능하죠?,,,,0
A32442,,,,"네, 가능합니다.",0
A32442,,,네 감사합니다,,0
A32443,신용대출을 인터넷으로 신청 할 수 있나요?,,,,0
A32443,,,,죄송하지만 인터넷으로는 신청이 불가능합니다,0
A32443,직접 영업점에 가야 하나요?,,,,0
A32443,,,,네 영업점 방문하셔야 합니다,0
A32443,,어떤 서류가 필요한가요?,,,0
A32443,직장인이신가요 사업자신가요?,,,,0
A32443,,,사업하고 있어요,,0
A32443,,법인인가요 개인사업자 이신가요?,,,0
A32443,,,개인사업하고 있어요,,0
A32443,,,,그러시면 소득증빙서류와 신분증 사본만 제출하시면 됩니다,0
A32443,,아무 지점이나 가도 되나요?,,,0
A32443,,,,네 관계없습니다,0
A32443,거래가 있으면 우대 금리가 있나요?,,,,0
A32443,,,,가입상품이 있으시면 우대금리를 제공해 드릴 수 있습니다,0
A32443,,,그렇군요.,,0
A32443,,다른 문의 있으신가요?,,,0
A32443,마이너스 통장으로도 만들 수 있나요?,,,,0
A32443,,,,상환 방식은 직접 선택 하시면 됩니다,0
A32443,,,감사합니다.,,0
A32443,,,,네 감사합니다 상담 종료 하겠습니다,0
A32444,대출이자 관련 문의하고 싶은데요,,,,0
A32444,혹시 이자 선납은 가능한가요?,,,,0
A32444,,네 고객님 이자 선납 문의 주신 것 맞으신가요?,,,0
A32444,,,네 제 개인사정상 미리내고 싶거든요,,0
A32444,,어떤 대출을 신청하셨나요?,,,0
A32444,,,주택담보대출입니다,,0
A32444,,원금도 상환하고 계신가요?,,,0
A32444,,,네 원금 내고 있습니다,,0
A32444,고정금리인가요 변동금리인가요?,,,,0
A32444,,,변동금리입니다,,0
A32444,,,,금리 변경 예정일이 없다면 원하시는 날짜에 선납 가능 합니다,0
A32444,모바일로도 가능한가요?,,,,0
A32444,,,,네 납부 하실 수 있습니다,0
A32444,어떻게 하면 되나요?,,,,0
A32444,,,,모바일 뱅킹 접속하셔서 대출이자 조회클릭하시고 납부란에서 진행하시면 됩니다,0
A32444,,,네 알겠습니다,,0
A32444,,다른 문의사항 있으신가요?,,,0
A32444,이자 납부내역 조회는 어떻게 하나요?,,,,0
A32444,,,,마찬가지로 모바일뱅킹 접속하셔서 대출이자 조회클릭하시고 조회란에서 확인할 수 있습니다,0
A32444,,,네 감사합니다,,0
A32445,보험계약대출 조건 알아보고 싶은데요,,,,0
A32445,,,,네 고객님 보험계약대출 조건 문의주셨고요,0
A32445,보험계약대출 신청 대상 기준은 뭔가요?,,,,0
A32445,,,,보험 가입일로부터 1달이 경과되어야 합니다,0
A32445,신청인 기준이요,,,,0
A32445,,,,보험계약자와 자동이체 하시는 예금주가 동일해야 합니다,0
A32445,다른 기준은 없나요?,,,,0
A32445,,,,보험상품마다 차이가 있으나 대체로 언급한 내용이 주요합니다,0
A32445,대출지급계좌 기준은 별도로 있나요?,,,,0
A32445,,,,보험료가 3회 이상 자동이체로 출금된 계좌이셔야합니다,0
A32445,,,알겠습니다,,0
A32445,보험대출이 안되는 경우도 있나요?,,,,0
A32445,,,,순수보장형보험은 불가능합니다,0
A32445,그럼 보험대출을 받아도 상품해지만 안하면 보험금 수령은 지장 없나요?,,,,0
A32445,,,,그렇습니다,0
A32445,모바일로 대출신청 가능할까요?,,,,0
A32445,,,,홈페이지나 모바일뱅킹으로 가능하십니다,0
A32445,,,편하군요,,0
A32445,,,,네 그렇습니다,0
A32445,,,네 감사합니다,,0
A32446,주택담보 대출 받으려고 하는데 필요한 서류가 뭐가 있나요?,,,,0
A32446,,,,"네 급여명세표나 갑근세원천징수확인서, 소득금액증명원 서류 제출해주시면 됩니다",0
A32446,작년도 급여활동이 없어서 증빙할 서류가 없는데요?,,,,0
A32446,,,,그러시면 신용카드사용액을 통해 연간소득으로 환산하는 방법도 가능합니다,0
A32446,전년도에 신용카드 사용액이 얼마정도 되시나요?,,,,0
A32446,,,전년도 신용카드 사용액이 2000만원 가량 됩니다.,,0
A32446,그럼 연소득은 얼마로 추정될 수 있죠?,,,,0
A32446,,,,신용카드 사용액이 2000만원이시면 추정소득은 약 4000만원입니다.,0
A32446,그러면 대출한도가 얼마나 나오나요?,,,,0
A32446,,,,정확한 한도는 신용조회와 서류 심사를 통해서 알려드릴 수 있습니다,0
A32446,,,그렇군요.,,0
A32446,대출기간은 얼마로 설정해야 많이 나오나요?,,,,0
A32446,,,,대출기간은 최대 20년으로 설정하시면 대출한도는 1억원까지 가능합니다.,0
A32446,1억 이상은 안되나요?,,,,0
A32446,,,,아파트 담보대출은 정부방침상 1년에 최대 1억이 가능합니다,0
A32446,그럼 내년에도 추가로 대출신청이 가능한가요,,,,0
A32446,,,,"네, 그렇습니다.",0
A32446,,,네 알겠습니다,,0
A32446,,,,감사합니다 상담 종료하겠습니다,0
A32447,직장 들어간지 얼마 안됐는데 신용대출 가능한가요?,,,,0
A32447,,네 올해 연령이 어떻게 되시나요?,,,0
A32447,,,26살 입니다,,0
A32447,,,,만 20세 이상이시면 신청 가능하십니다,0
A32447,얼마까지 대출이 가능할까요?,,,,0
A32447,,,,소득과 신용도에 따라 다르기 때문에 답변드리기 어렵습니다,0
A32447,직장인이신가요?,,,,0
A32447,,,네 회사 다니고 있습니다,,0
A32447,,얼마동안 근무하셨어요?,,,0
A32447,,,올해로 2년차 입니다,,0
A32447,,연봉이 얼마입니까?,,,0
A32447,,,연봉은 3천만원정도 됩니다,,0
A32447,직장인 대출을 신청하는 경우엔 얼마정도 받을 수 있나요?,,,,0
A32447,,,,네 연봉을 기준으로 하면 약 1000만원정도 받을 수 있습니다,0
A32447,,,2000만원정도 필요한데요,,0
A32447,다른방법 없을까요?,,,,0
A32447,,,,은행에 직접 내방하셔서 상담하시는게 좋습니다,0
A32447,,,그렇군요.,,0
A32447,,,,다른문의사항 있으신가요?,0
A32447,,,없습니다 감사합니다,,0
A32448,보험약관대출 문의드리고 싶은데요,,,,0
A32448,,네 원활한 상담진행을 위해서 성함과 생년월일 말씀해주시겠어요?,,,0
A32448,,,고OO이고 OOOOOO입니다,,0
A32448,,개인정보동의를 위해 문자를 보신후 동의하시면 번호를 불러주세요,,,0
A32448,,,OOOO요,,0
A32448,,,,네 확인되셨습니다,0
A32448,,,,저희 보험사에 4건 가입해있으시군요,0
A32448,,,네 맞아요,,0
A32448,,보험약관대출 한도가 궁금하신거죠?,,,0
A32448,,,맞아요,,0
A32448,,,,현재 고객님 명의로 가입된 보험으로 최대 300만원 가능하십니다,0
A32448,그거밖에 안돼요?,,,,0
A32448,,,,보험가입기간이 비교적 오래되지 않아서 그런 점 양해 부탁드립니다,0
A32448,혹시 제 아내 약관대출도 확인 가능할가요?,,,,0
A32448,,,,당사자가 직접 하셔야 합니다,0
A32448,가족인데요?,,,,0
A32448,,,,개인정보보호법상 어려운점 양해부탁드립니다,0
