	고객질문(요청)
549	연장도 가능한가요?
553	우대 금리도 받을 수 있나요?
555	저희 은행과 기존 거래가 있으신가요?
559	담보대출로 문의드릴게 있는데요
560	외화예금도 담보대출 신청 할 수 있나요?
562	영업점에 방문해야하나요?
564	그럼 스마트뱅킹으로 신청 가능한가요?
566	만기에 일시상환 방식이 있던데요?
568	거치상환은 이자를 언제 내요?
572	몇가지 더 궁금한게 있는데, 자동이체신청 가능한가요?
574	연체하게 되면 어떻게 되나요?
579	대출 중도 상환하면 부과되는 수수료 건으로 문의드려요
580	지금 대출기간이 좀 남았는데 일시에 상환하고 싶거든요
587	네 그건 아는데 얼마나 되는지가 궁금한데요?
590	그럼 한번에 상환하게되면 제 신용등급에 미치는 영향은요?
593	그럼 수수료가 얼마나 부과되는지 확인 가능할까요?
599	대출연체 때문에 문의드리고 싶어서 전화했어요
608	또 대출을 받아란 소리에요?
610	그럼 뭐에요?
612	기존 대출을 그걸로 바꾸는 건가요?
614	그거는 만기가 몇 년이에요?
616	그 안에 다 갚기만 하면 되나요?
619	대출 신청하고 기다리고 있는데 문의드릴려고요
620	대출승인이 아직까지 안나는지 결과를 왜 안알려 주시나요?
624	혹시 대출 승인 안되었다는 안내를 받으셨나요?
626	혹시 제 신용등급 문제 때문에 그런건 아닌가요?
630	전화가 없었다니까요?
631	그럼 제가 해야 할 것은 무엇인가요?
633	전화를 못받을 수 있으니 문자로 주시겠어요?
639	제가 담보가 없는데 신용대출로 얼마나 받을 수 있는지 궁금해요
641	어떤 조건이 들어가나요?
643	그럼 연봉이 높을수록 대출한도가 높게 잡히나요?
645	직전년도만 보나요?
647	예상한도를 대략 알려주실 수 있나요?
649	대략 확인이라도 부탁드려요
655	예상 금리도 알수 있을까요?
659	분양 아파트 중도금 대출하고 싶은데요?
661	대출이 얼마까지 가능할까요?
664	시세기준은 뭘 보고 아나요?
667	혹시 부동산 구매가격이 더 높으면 어떻게 되나요?
671	상담을 좀 더 받아보고 싶은데 어떻게 하면 될까요?
673	영업시간이 어떻게 되나요?
675	상담예약이 따로 필요한가요?
679	코로나 19로 피해로 소상공인 대출 만기연장 해준다고 하던데 어떻게 신청하나요?
682	연매출이 1억원 이하이신가요?
685	어떤 서류를 제출해야 하나요?
687	신청해서 승인되면 만기연장이 언제기점으로 되나요?
689	어떻게 신청하면 되나요?
691	상환유예된 원리금은 어떻게 상환해야 하나요?
694	전화로 신청하려고 하는데 어떻게 하면 되나요?
699	연금 담보로 대출 하려고 하는데요
705	어떻게 하면 되나요?
708	대출한도는 어떻게 되나요?
711	대출신청하면 얼마나 걸리나요?
713	입금은 언제 되나요?
719	신용대출 잔액 확인하고 싶어서 문의드려요
721	성함을 말씀해 주시겠어요?
727	분할상환하고 있는 대출 얼마남았나요?
731	지난주에 낸 금액이 상환이 안되었나요?
739	카드대출 받은 내역 확인하고 싶은데요
751	금리는요?
753	그럼 작년에 받을 건을 상환하고 다시받으면 금리가 낮아지나요?
755	상환했는데 추가 대출 안될 수도 있나요?
759	카드론 받은거 상환하고 싶어서 전화했어요
768	카드론 잔액이 얼마인가요?
770	오늘 상환하려면 얼마를 넣어야 하나요?
772	중도상환 수수료가 있나요?
779	인터넷으로 신용대출 신청 가능한지 궁금해서 문의드려요
781	어떻게 다른가요?
783	그 금액 이상이면 방문해야 하나요?
785	심사서류가 뭐에요?
792	직장인 마이너스 통장 개설은 인터넷으로 되나요?
794	그러면 우선 개설하고 한도를 상향할수도 있나요?
796	어떻게 하는 건데요?
799	보험에서 받은 대출이 얼마나 되는지 확인하고 싶은데요?
801	성함을 말씀해 주시겠어요?
808	총 얼마 인가요?
810	언제 받았는지 알려 주시겠어요?
827	그럼 방법이 없는건가요?
829	얼마나 지나야 되나요?
831	대출을 받고 주의해야할점이 있나요?
835	상환기간은 얼마동안 인가요?
839	전세대출 연장관련 문의드릴게 있어서 전화했어요
843	서류만 제출하면 되나요?
845	다른집으로 이사하는 경우는 어떻게 되나요?
847	전세가 더 비싼집으로 이사하면요?
851	제가 추가 대출이 가능한지 지금 알아볼 수 있나요?
859	학자금 대출내역 문의드릴려고 전화했어요
873	총 대출금이 얼마인가요?
875	상환은 어떻게 하나요?
879	약관대출 내역 문의드릴려고 전화했어요
888	건별로 대출내역 알 수 있을까요?
890	연금 개시할 때가 다 되었는데 대출금은 어떻게 되나요?
892	상환해야 하나요?
894	연금액이 최초 계약한 것보다 적게 나오나요?
901	제가 담보대출에 대해 좀 알아보고 싶어서요
903	아파트 담보 대출 가능한가요?
905	신청방법은요?
908	대출은 얼마까지 받을 수 있나요?
910	대출이자는요?
914	직접 은행 방문해야 되지요?
916	필요한 서류는 뭐죠?
921	제가 신용대출이 가능할까요?
925	그것도 꼭 알아야 되요?
927	얼마나 대출 받을수 있는지는요?
929	직업은 어떻게 되시나요?
932	필요한 서류 알려주시겠어요?
934	인터넷으로는 안되요?
936	은행 영업시간은요?
938	점심시간에도 업무 보나요?
941	제가 청약저축이 하나 있는데요 이걸로 대출되요?
943	그래요? 얼마까지 되죠?
945	제꺼 조회좀 해주세요
947	이자는요?
953	그래요?
955	300만원 이상일때는요?
959	어디로 가면 되요?
961	문의좀 드릴께요 전세 대출 알아보려고요
968	대출 받는 방법좀 자세히 알려주세요?
970	전세금액 전부 다 대출가능해요?
972	이자는 얼마예요
981	급하게 대출좀 하고 싶은데요. 지금 직장은 다니고 있어요
991	필요한 서류는 뭔가요?
995	얼마나 받을 수 있나요?
997	심사하는데 걸리는 시간은요?
1001	문의좀 드릴께요 . 학자금 대출 가능한지 알아보려고요
1003	방법만이라도 알려주세요?
1007	인터넷 뱅킹도 신청해야 겠네요
1009	그러면 대출신청이 가능해요?
1011	교육도 필수예요?
1013	부모님 동의도 필요한가요?
1015	동의서류는 어떤게 있어야 해요?
1017	대출은 얼마까지 받을 수 있어요?
1019	추가도 가능한가요?
1021	문의 좀 드리겠습니다. 전세자금대출이 궁금해서요
1024	금리는요?
1026	싸게 하는 방법은 없어요?
1028	얼마만에 갚아야 해요?
1030	전세대출은 집주인한테 알려야 하나요?
1032	꼭 그렇게 해야 해요?
1034	주인한테 전화로물어보나요?
1041	문의좀 드릴께요 보험에서 300만원 정도 약관대출로 할 수 있습니까?
1048	대출 가능해요?
1050	1달뒤에 상환해도 되나요?
1052	이자는요?
1061	문의좀 드릴께요 제가 보험계약대출 받으려면 어떻게 해야합니까?
1065	그런데 꼭 본인통장으로만 보험계약대출을 받을 수 있나요?
1067	제 통장거래가 사정상 안되면요?
1073	그때 통장 잔고가 부족하면요?
1077	홈페이지에서도 신청이 될까요?
1081	문의좀 드릴께요 급해서 그런데. 보험으로도 대출이 되나요?
1092	250만원요?
1094	그럼 남편거까지 확인 해봐주세요
1096	지금 옆에 남편 계신가요?
1101	제가 대출 상환을 하고 싶은데요
1109	다 말해주시겠어요?
1119	제 계좌에서 바로 뽑아갈 수 있게는 안 되나요?
1121	문의좀 드릴께요. 적금으로 대출이 되나요?
1125	요새 이자는 어떻게 되요?
1127	싸게 할 수 있는 방법은 뭐 없을까요?
1129	우대적용 이런거 없어요?
1131	대출할때 필요한 서류는 뭐죠?
1133	대출 거절되는 경우도 있어요?
1141	문의좀 드릴께요. 대출상환을 인터넷으로도 할 수 있어요?
1157	달마다 이자가 다르던데요?
1161	대출을 받았는데요. 담보대출 금리를 내릴 수 있습니까?
1169	평가하는 기간이 있나요?
1171	언제부터 평가하는데요?
1173	횟수도요?
1175	몇번까지 가능해요?
1177	신청 안내좀 해주시겠어요?
1181	문의 좀 드릴께요. 꼭 본인이 직접 가야 대출이 되나요?
1183	영업점 가는 방법 말고는요?
1191	로그인 하셨어요?
1192	로그인 해야 하는거예요?
1201	문의좀 드릴께요. 제가 가진 신용카드로 대출 할 수 있습니까?
1203	다른 필요한 서류는 없어요?
1205	아 어떻게요?
1207	바로 신청도 되요?
1209	얼마나 대출할 수 있어요?
1211	혹시 이용가능한 시간이 따로 있어요?
1213	시간은요?
1221	학생인데요. 학자금대출이 궁금해서요?
1225	그건 어디서 신청해요?
1229	신청 하고 그 다음은요?
1231	교육 그런것도 받아야 되요?
1233	부모님 한테도 알려지나요?
1235	부모님 서류는 뭐가 필요하죠?
1239	필요하면 더 신청도 되나요?
1242	문의 좀 드릴께요 지금 있는 카드 결제일 날짜를 바꾸고 싶은데요?
1244	먼저 본인확인 위해 생년월일 알려주세요
1246	근데 지금 결제일이 몇일로 되어 있나요?
1253	이번달부터 변경되나요?
1255	처리하는데 오래 걸리나봐요
1262	문의좀 드릴께요 보험료 자동이체 신청하려고요
1279	혹시 전화로도 신청가능한가요?
1282	대출이 좀 필요해서 문의좀 드릴께요
1286	어느정도 받을 수 있을까요?
1288	최대 얼마인지 조회 좀 해주세요
1301	제 보험으로 대출 가능한지 알 수 있는 방법이 뭐가 있을까요?
1306	필요한 서류는 없어요?
1308	홈페이지에서는 어떻게 할 수 있나요?
1310	대출은 바로바로 가능한가요?
1312	대출하고 나면 이자는 어떤방식으로 내면 되는거예요?
1314	자동이체 말고도 방법이 있나요?
1316	대출받은 금액은 제 계좌로 바로 들어오나요?
1318	갚는 방법은요?
1321	은행 ATM 기기에서  통장으로 출금 할 수 있어요?
1324	뭘 신청하는거예요?
1325	미리 신청해야 쓸 수 있는 거예요?
1331	가서 뭘 하면 되요?
1333	다른 은행에서 신청할 수 도 있나요?
1335	한번에 얼마나 가능한가요?
1337	하루에 얼마나요?
1341	좀 급하게 전세자금대출이 필요한데요
1346	금리 낮추는 방법이 있나요?
1348	몇년만에 갚아야 해요?
1350	전세대출이면 집주인 동의도 필요한가요?
1352	이유가 있나요?
1354	어떤 방법을 확인하는데요?
1356	질권설정요?
1361	보험료 카드로 결제되는걸 자동이체로 바꿀께요.
1363	인터넷 뱅킹 이용하시나요?
1376	자동이체를 바꾸고 싶을떄는요?
1378	전화로 해지 신청은 안되고요?
1381	문의좀 할꼐요. 지금 보험료가 즉시 이체 할라고 하는데 안내 좀 해주세요
1389	총 얼마예요?
1391	바로낼 수 있어요
1393	이체방법은요?
1395	다른 방법이 있을까요?
1397	가상계좌 그거 안전해요? 
1399	계좌번호 알려주세요?
1401	보험료가 몇 달 밀린것 같아요. 정지되기 전에 보험료가 바로 내려고 하는데요.
1411	이체 방법좀 알려주세요?
1413	그 날짜말고 입금할 방법은요?
1415	가상계좌 같은건가요?
1417	카드결제는요?
1421	돈 필요한데 카드나 통장이 없을때도 출금할 수 있습니까?
1425	무통장 또는 무카드 거래사용을 등록하셨나요?
1426	그런게 있나요?
1428	그거 등록하고 나면 한번에 뽑을 수 있는 금액은 얼만가요?
1430	무카드 출금 서비스 이용방법은요?
1434	비밀번호는 없어요?
1436	ATM에서 어떻게 하면 되나요?
1438	최대 얼마까지 뽑을 수 있어요?
1441	카드 결제일좀 바꿔주세요
1445	지금 결제일이 몇일로 되어 있어요?
1447	언제로 바꾸길 원하세요?
1448	제가 원하는 날짜 아무데나 되요?
1452	오늘이 2일인데,  10일날 바로 적용되요?
1454	아직 남았는데. 왜 이달부터 안되요?
1456	일주일 후면 10일도 되는거 아니예요?
1461	은행 오래 이용한 고개인데요. 이체 수수료  이거 면제좀 안될까요?
1465	어떻게 하면 우대고객이 되요?
1467	급여 통장을 바꿔야 하나요?
1473	이거만들면 이체 수수료 면제예요?
1475	10회이상도 무료로 하는 방법은 없어요?
1477	이 은행만 그래요?
1481	급하게 제가 신용대출을  좀 받으려고 하는데 상담좀 해주세요
1485	얼마나 빌려줘요?
1487	저는 얼마나 빌릴 수 있을까요?
1502	제가 가진 조합 출자금 통장에서 다른 통장으로 이체하려고 하는데 가능한지 궁금해요
1504	왜요?
1508	네,인터넷뱅킹에서 비밀번호 오류로 이체차단이 되면 스마트뱅킹에서도 이체가 안되요?
1514	네,자금이체서비스, 결제원CMS로 자동이체신청시 연계계좌로 신청이 가능한가요?
1522	대출중도상환을 인터넷으로 진행가능한가요?
1524	방법좀 알려주세요?
1532	네,마이너스통장의 대출이자가 나가는 날짜는 정해져 있나요?
1534	근데 금액이 매달 달라요?
1545	현재 결제일이 10일인가요?
1552	이번달부터 적용되나요?
1554	왜 다음달 부터예요?
1561	보험이 있으면 대출이 된다던데. 맞나요?
1565	제꺼 조회해주세요
1572	한 10년 납입했는데 좀 작네요?
1575	대출하게되면 이자는 얼마정도 해요?
1578	시중금리에 비해 너무 비싼데요?
1581	저기요. 인터넷 뱅킹할때 1회에 이체한도가 있나요?
1587	OTP말고 보안 카드를 가지고 있어도 이체한도는 같은가요?
1589	저의 이체한도를 변경도 가능한가요?
1591	한번정도만 이체한도를 늘렸다가 다시 이체 한도를 줄일 수도 있나요?
1595	이체한도 증액과 감액을 할때 은행 지점을 방문으로도 가능한가요?
1597	영업점 영업시간은 어떻게 되세요?
1601	송금 수수료 면제 받는 방법이 있나요?
1603	우대 고객은 어떻게 되는 건가요?
1606	회사에 급여이체 통장 변경신청을 하면 될까요?
1612	수수료는 송금시 마다 무료인가요?
1614	송금시 마다 무료가 되는 조건은 따로 있나요?
1616	영업점 마다 혜택이 다를 수 있나요?
1621	사업자 등록이 되었는 업체의 송금수수료를 면제 받을 수있나요?
1625	실적이 없으면 수수료 면제를 받지 못한다는 건가요?
1627	통장 발급방법이 어떻게 되나요?
1629	수수료 혜택은 어떻게 되나요
1631	5회 이상은 면제가 안되나요?
1633	필요한 서류가 있나요?
1635	더 필요한 서류는 없나요?
1637	필요한 서류 안내문자 보내주실수 있나요?
1641	신용대출 받고 싶어요
1643	조건이 어떻게 되나요?
1645	연소득에 따라서 신용한도가 차이가 많이 날까요?
1647	연소득은 작년 1년간의 저의 소득과 부채금액을 보는 건가요?
1649	신용대출 예상 금액을 알 수는 없나요?
1652	지점을 방문하지 않고 알수 있는 방법은 없나요?
1654	신용대출 금리도 같이 알아 볼 수 있나요?
1656	좀 더 자세하게 알아볼 수 있는 방법이 있을까요?
1662	계좌이체할때 인증서 대신에 지문사용 할 수 있나요?
1664	어떻게 하면 되나요?
1666	꼭 앱을 다운 받아서 사용해야 하나요?
1668	앱을 다운 받았습니다. 그다음은 어떻게 하나요?
1673	그럼 제 폰이 아니면 사용이 안되나요?
1675	지문등록 되는 핸드폰 종류가 따로 있나요
1681	금융거래를 지문으로 가능한가요?
1691	어떤 핸드폰이든 상관없이 등록할 수 있나요?
1696	그럼 갤럭시 폰은 지문말고도 등록 가능한건가요?
1699	폰을 교체하고 등록을 하는 게 더 나을까요?
1709	얼마나 상향 가능한가요?
1720	문자메세지에 단기카드대출금액 한도가 100만원으로 되어있어요
1722	단기카드대출이 현금서비스 이용 할 수 있는 금액인가요?
1724	단기카드대출 금액을 없앨수도 있나요?
1737	필요할 경우 다시 금액을 올릴수도 있나요?
1740	신용대출 금리 인하를 받을 수 있나요?
1744	어떤 조건이 있어야 하나요?
1746	인하신청할 수있는 때가 따로 있나요?
1748	언제인가요?
1750	금리인하 신청 횟수도 따로 있나요?
1754	신청하는 방법은 뭔가요?
1756	홈페이지에서도 신청가능한가요?
1760	ATM기를 사용하면 출금을 얼마나 할 수 있나요?
1762	한도가 얼마인가요?
1764	한도를 왜 정해 놓은 건가요?
1766	그럼 70만원을 초과해서 출금하려면 어떻게 해요?
1768	200만원이 필요하다면 3번에 나누어서 출금하라는 말인가요?
1770	1일 출금한도도 정해져 있나요?
1772	출금한도를 늘릴수도 있나요?
1774	한번 늘렸던 출금한도를 다시 줄일 수도 있나요?
1780	송금계좌를 잘 못 입력하고 송금해 버렸는데 취소가 되나요?
1783	ATM기기에서 바로 취소할 수 있나요?
1785	돈은 돌려받을수 있나요?
1787	동의는 어떻게 받으면 될까요?
1789	잘 못 입금받으신 예금주가 동의하면 돈은 돌려받을 수 있나요?
1791	동의를 해주지 않으면요?
1793	억지로 돌려 받을 수 있는 방법은 없는 건가요?
1795	제가 잘못 이체한 분의 전화번호를 알 수 있나요?
1798	콜센터 전화번호가 어떻게 되나요?
1800	학자금 대출이 필요해서요.가능한가요?
1802	학자금 대출 신청은 어디에 하면 되나요
1808	홈피로 대출 신청시 공인인증서가 있어야 하나요?
1810	인터넷 뱅킹 가입하면서 공인인증서도 같이 발급받으면 되나요?
1812	공인인증서 발급받고 나서 사이트에서 신청하면 되는건가요?
1814	신청하고 나서 대출금 나오기까지 얼마나 걸릴까요?
1820	예탁금 담보대출 신청할려구요
1826	예탁금 담보로 얼마나 대출이 가능한가요?
1828	대출이자율은 어떻게 되요?
1832	대출금 신청은 언제 가능한가요?
1834	대출 상환도 언제나 가능한건가요?
1836	만기기한 까지 대출금을 상환하지 못하면 어떻게 되나요?
1840	자동이체 신청방법 알려주세요
1842	신청기간이 따로 정해져 있나요?
1844	이번달에 신청희망일이 지나갔으면 어떻게 하나요?
1846	그럼 다음달부터 이체일에 금액이 출금 되겠네요?
1848	계약자와 예금주가 다르면 어떻게 하나요?
1850	서류는 발급받은날짜와 상관없나요?
1852	인터넷으로 자동이체 신청시에는 타인계좌로도 가능 한가요?
1854	타인계좌로 지정일에 정한 금액을 송금하려면 어떻게 하나요?
1856	송금수수료가 발생을 하나요
1860	제가 전세자금대출을 받을 수 있을까요?
1865	전세자금대출도 종류가 많이 있나요?
1867	전세자금대출에 관한 자격조건을 문자로 안내받을 수있나요?
1869	좀더 자세한 설명을 볼려면 홈페이지에 접속하면 되나요?
1871	전세자금을 담보로 하는  대출도 되나요?
1873	그럼 어떤걸 담보로하나요?
1875	전사자금대출을 받은 상태에서 이사를 가야 하는 경우엔  대출을 상환 하나요?
1877	전세가 아닌 매매로 인한 이사를 한다면 상환해야 하는 건가요?
1880	해외 송금을 해야합니다. 이용가능 한가요?
1882	주말 주중 상관없이 가능하다는 말씀인가요?
1884	해외송금을 하였습니다. 언제쯤 확인이 될까요?
1893	다른 국가로 송금해도 같은가요?
1895	제가 해외로 송금한 내역도 확인 할 수 있나요?
1897	상세 정보로도 볼 수 있나요?
1900	퇴직연금에서 중도인출이 가능한가요?
1904	전세자금이 아니더라도 중도인출이 가능한가요?
1906	어떤 경우에 중도인출 할 수있나요?
1908	해당 사유가 어떤 것이 있나요?
1916	그외에 제가 알아야 할 사항이 있나요?
1918	중도인출관련된  법이 있나요?
1920	ATM기의 이용한도가 정해져 있나요?
1922	얼마인가요?
1924	통장이 없을경우도 600만원 인가요?
1927	ATM기에서 1회에 600만원 전부 출금이 가능한가요?
1929	오늘 600만원을 출금하면 내일도 600만원 출금할 수 있나요?
1931	아무은행 ATM 으로도 가능한 건가요?
1933	ATM기에서 통장이나 카드로 이체가능 금액은 얼마인가요?
1935	600만원만 이체가능한가요?
1938	1년동안 거래가 없었는데 괜찮나요?
1940	지금 가입되어진 적금으로 담보대출을 받을 수 있나요?
1950	대출 한도금액이 얼마인가요?
1952	대출 적용 금리는 어떻게 되나요?
1954	대출 금리 할인을 더 받을 수는 없나요?
1956	지점에서 신청해서 대출 받을 수는 없나요?
1958	서류가 필요합니까?
1960	인터넷 뱅킹 비밀번호가 생각이안나요? 
1965	비밀번호 오류횟수가 있나요?
1967	5회 오류 입력하면 어떻게 하나요?
1970	비밀번호 만드는 방법이 따로 있나요?
1972	비밀번호를 재등록 할 시엔 기존에 5회 오류난 횟수가 누적이 되나요? 
1974	비밀번호 재등록시 필요한 서류가 있나요?
1977	비밀번호를 재등록 하면 홈페이지 로그인 아이디도 바뀌나요?
1980	고객 등급이 따로 있나요?
1984	점수로 등급을 나누는 건가요?
1986	등급을 나누는 조건이 있나요?
1988	3개월동안의 사용건수로 본다는 말인가요?
1990	저의 등급은 뭔가요?
1999	통장으로 현금자동입출금기 이용이 가능한가요? 
2001	집앞에 자동입출금기에서는 통장으로 출금이 안되던데요?
2005	신청을 어떻게 하나요?
2009	그것만 있으면 신청 가능한가요?
2011	다른 은행에 가서 신청해도 되나요?
2013	통장 발급받은 은행을 가야 하는군요?
2016	몇시까지 들러야 하나요?
2018	내 통장으로 ATM기계 사용 안되던데요
2020	그건 우째하는 긴데요?
2027	은행갈때 뭐 또 필요한교?
2037	문의좀 드릴께요
2039	사용하고 있던 OTP 화면이 안나와서요?
2047	증권사로 방문해야 하나요?
2049	교체 발급 수수료가 있나요?
2051	일반카드형태의 비밀번호와 OTP의다른점이 있나요?
2053	새로 발급받는 OTP를 기존 사용하던 다른 은행에도 다시 등록을 해야하는 거네요?
2056	문의 드릴께요. 갑자기 급전이 필요해서요
2057	아파트 담보대출로 얼마를 받을 수 있는지 알수있나요?
2075	내가 증권사에서 발급받은 OTP가 있는데.  요기 은행에서도 등록해서 사용할 수 있는교?
2095	돈을 다른 통장으로 어떻게 옮겨요?
2106	그럼 수수료도 있어요
