,대화셋일련번호,content
164,A32434,선결제 문의 하시는거죠?
165,A32434,네 그렇습니다
166,A32434,선결제 수수료는 어떻게 계산되나요?
167,A32434,선결제 수수료는 이용금액x사용일x연이율로 계산됩니다
168,A32434,연이율은 어떻게 되나요?
169,A32434,연이율은 신용등급 소득수준 등 고객별로 상이해서 모두 다릅니다
170,A32434,제 연이율은 어떻게 조회할 수 있나요?
171,A32434,혹시 저희 은행 홈페이지에 가입하신 회원이신가요?
172,A32434,아뇨 안했습니다
173,A32434,명세표는 받아보시고요?
174,A32434,네 받고있어요
175,A32434,그러면 고객님 명세표에 기입되어 있으십니다
176,A32434,아 그렇군요
177,A32434,다른 문의사항 있으신가요?
178,A32434,아뇨 없어요
179,A32434,네 감사합니다
180,A32435,대출금 상환 관련 문의드릴게 있는데요
181,A32435,모바일뱅킹으로도 상환이 가능한가요?
182,A32435,네 모바일로 대출상환 가능하십니다
183,A32435,아 그렇네요
184,A32435,대출 메뉴에서 바로 되나요?
185,A32435,대출메뉴 아래 원금상환 메뉴를 클릭해 주시면 됩니다.
186,A32435,네 알겠습니다.
187,A32435,원금 상환은 입출금계좌에서 빠져나가도록 하나요?
188,A32435,"네, 당행의 입출금계좌에서 상환금액이 빠져나갑니다."
189,A32435,타행계좌로 원금상환은 안되나요?
190,A32435,"네 바로는 안되시고, 번거롭지만 타행계좌에서 당행으로 송금하시고 진행하셔야 합니다"
191,A32435,정말 번거롭군요
192,A32435,중도상환수수료가 있나요?
193,A32435,대출하신지 얼마나 되셨나요?
194,A32435,3년 좀 넘었습니다.
195,A32435,대출 약정기간은 얼마동안이세요?
196,A32435,5년 입니다
197,A32435,3년이 지나셨으면 중도상환수수료는 따로 부과되지 않습니다.
198,A32435,중도상환시 신용등급에도 영향을 미치나요?
199,A32435,긍정적 영향은 미칩니다
200,A32436,보험계약 대출 신청하려고 하는데요
201,A32436,대출받아도 보험에서 보험금 수령이 가능한가요?
202,A32436,네 가능하십니다
203,A32436,이자는 어떻게 지불하나요?
204,A32436,"자동이체 하실 수도 있고, 직접 납부하는 방식도 있습니다"
205,A32436,통장에 미처 돈을 이체 못해서 잔고가 없을 경우엔 어떡하죠?
206,A32436,고객센터로 전화주시면 고객님 명의로 된 가상계좌를 보내드립니다
207,A32436,인터넷이나 모바일로 하는 방법은 없어요?
208,A32436,당행 모바일뱅킹앱을 다운받으시면 편하게 진행할 수 있습니다
209,A32436,어떻게 하는건가요?
210,A32436,앱에 접속하셔서 이자지급란에서 절차대로 진행하시면 됩니다
211,A32436,통장은 제 계좌만 되는건가요?
212,A32436,네 고객님
213,A32436,기존에 납부하던 계좌로만 가능한가요?
214,A32436,"변경하시려면, 고객센터로 문의주시고 몇가지 서류 제출하시면 됩니다"
215,A32436,알겠습니다
216,A32436,더 궁금하신건 없나요?
217,A32436,네 이정도면 충분해요
218,A32436,네 감사합니다 상담 종료 하겠습니다
219,A32436,네 감사합니다
220,A32437,주택담보대출이 가능한지 알고 싶어요.
221,A32437,주택 종류가 어떻게 되시나요?
222,A32437,아파트 입니다
223,A32437,아파트 구입 관련 중도금이나 잔금 대출이신가요?
224,A32437,아닙니다. 자가용 주택을 담보로 대출하려고 하는데요
225,A32437,그러시면 소득증빙자료가 필요합니다
226,A32437,어떤 자료죠?
227,A32437,전기 직장급여나 사업소득관련자료를 제출하셔야 합니다
228,A32437,대출한도는 어떻게 되나요?
229,A32437,연에 1억정도 됩니다
230,A32437,아파트 시세랑 상관없이 정해진 한도금액인가요?
231,A32437,"아파트 구입시에는 금액 변동이 있지만, 주택을 담보로 대출하는 경우엔 동일합니다"
232,A32437,흠 그렇군요
233,A32437,국토부에서 정한 방침이기 때문에 그렇습니다
234,A32437,네 알겠어요.
235,A32437,신청은 어떻게 할 수 있나요?
236,A32437,"네, 소득증빙자료와 아파트 등기부등본을 지참하셔서 영업점을 방문해 주시면 됩니다."
237,A32437,알겠습니다.
238,A32437,다른 문의사항 있으신가요?
239,A32437,없습니다.
240,A32438,마이너스통장으로 대출 가능할까요?
241,A32438,마이너스 통장은 있으신가요?
242,A32438,없어요
243,A32438,어떻게 만들면 되나요?
244,A32438,영업점을 방문해 주시거나 인터넷뱅킹에서 신청하실 수도 있습니다. 
245,A32438,필요한 서류가 있나요?
246,A32438,"신분증사본, 재직증명서,그리고 급여증명서 입니다"
247,A32438,저는 직장이 없는데요.
248,A32438,재직증명서는 필수인가요?
249,A32438,재직증명서가 없으면 사업자 등록증만 있어도 괜찮습니다
250,A32438,그것도 없는데요
251,A32438,그런 경우에는 소득금액증명원과 고객님의 신용도에 따라 마이너스 통장 개설여부가 결정됩니다.
252,A32438,얼마까지 받을 수 있을까요?
253,A32438,"신용도 조회가 필요하기 때문에, 전화상담보단 영업점에 직접 방문하시길 권유드립니다"
254,A32438,요즘 마이너스 통장 대출금리는 어느정도 되나요?
255,A32438, 보통 최저 2%에서 최대 4% 사이입니다.
256,A32438,네 알겠습니다.
257,A32438,저희 집에서 가까운 영업점 안내해 주시겠어요?
258,A32438,전화주신 연락처로 문자 발송해드렸습니다
259,A32438,네 감사합니다
260,A32439,주택청약으로 담보 대출 가능할까요?
261,A32439,네 대출 가능합니다
262,A32439,얼마까지 빌려주나요?
263,A32439,"중도금 납부하면 진행이 가능하고, 예금액의 80%까지 드립니다"
264,A32439,그렇군요.
265,A32439,이자는 얼마쯤 되나요?
266,A32439,신용등급에 따라 달라지는데 보통 3.2%정도 됩니다
267,A32439,대출신청은 어떻게 하나요?
268,A32439,인터넷뱅킹에서 신청하시면 됩니다
269,A32439,편하네요
270,A32439,지금 신청하도록 도와드릴까요?
271,A32439,"네, 도와주세요."
272,A32439,우선 인터넷 뱅킹 접속하시겠어요?
273,A32439,"네, 잠시만요."
274,A32439,천천히 진행해도 됩니다
275,A32439,"네, 접속했어요."
276,A32439,대출매뉴에서 예금담보대출을 클릭해주세요
277,A32439,그 다음은요?
278,A32439,대출금액을 넣으시고 신청하시면 됩니다. 추후 심사를 통해서 금액이 조정될 수 있는 부분 양지해주시기 바랍니다
279,A32439,"네, 감사합니다."
280,A32440,대출 일부 상환 문의 드립니다
281,A32440,네 대출관련 어떤 문의 주시겠어요?
282,A32440,일부상환하려고 하는데요
283,A32440,가상계좌는 받으셨나요?
284,A32440,네 어제 받았어요
285,A32440,네 혹시 상환을 못하셔서 기존 가상계좌로 입금이 안되서 그러시나요?
286,A32440,네 맞아요
287,A32440,그러시면 가상계좌를 다시 받으셔야 합니다
288,A32440,왜 다시 받아야 하나요?
289,A32440,하루 경과하게 되면 이자가 달라지기 떄문에 그렇습니다 고객님
290,A32440,그럼 가상계좌를 다시 보내주시겠어요?
291,A32440,어제 드린대로 고객님 연락처로 문자 발송하면 되겠습니까?
292,A32440,네 그렇게 부탁드려요
293,A32440,"금일에 이체를 못하시면, 추가로 이자가 붙는 부분 양지해주시길 바랍니다"
294,A32440,네 알겠습니다
295,A32440,중도에 전액상환하면 어떻게 되나요?
296,A32440,중도상환수수료가 발생할 수 있습니다.
297,A32440,그렇군요.
298,A32440,추가문의사항 있으십니까?
299,A32440,아뇨 괜찮아요
300,A32441,대출 문의좀 드릴게요
301,A32441,네 대출관련 무엇을 도와드릴까요?
302,A32441,지금 중소기업에 다니고 있는데 대출이 얼마나 될까요?
303,A32441,직장에 근무하신지 얼마나 되셨나요?
304,A32441,6개월 정도 된 것 같아요
305,A32441,"고객님, 직장인 대출은 최소 6개월 이상 근무하셔야 신청 가능하신데, 조건에 부합하시네요"
306,A32441,그렇군요.
307,A32441,대출 신청 서류는 뭐가 필요해요?
308,A32441,"재직증명서, 신분증사본, 소득증명서를 지참하셔서 영업점에 방문하시면 됩니다"
309,A32441,한도는 얼마정도 될까요?
310,A32441,신용등급 등에 따라 변동이 있어서 심사 후에 알려드릴 수 있습니다
311,A32441,연봉 3천만원 정도인데 얼마인지 알 수 없나요?
312,A32441,연봉이나 소득으로만 알 수 있는 부분이 아니라 확인이 어렵습니다
313,A32441,그렇군요.
314,A32441,그럼 대출신청후 승인까지는 얼마나 걸리나요?
315,A32441,서류만 제출되시면 심사후에 당일에도 바로 알려드릴 수 있습니다
316,A32441,다른 대출이 있으면 한도에 영향이 있나요?
317,A32441,네 대출만큼 한도가 줄어들 수 있습니다
318,A32441,네 알겠습니다.
319,A32441,네 그럼 언제든지 궁금한 사항이 있으면 문의해 주세요.
320,A32442,든든학자금대출 받고 싶은데요
321,A32442,현재 학부생이신가요?
322,A32442,네 4학년 입니다
323,A32442,한국장학재단에서 대출신청 가능하세요
324,A32442,이자는 얼마나 되나요?
325,A32442,현재 기준으로 2.2% 입니다
326,A32442,이자는 언제 내나요?
327,A32442,일반학자금대출이 아니셔서 취업 전까지 이자지급은 유예해드립니다.
328,A32442,원금상환은 어떻게 하나요?
329,A32442,원리금균등방식으로 하셨으면 취업이후 이자와 함께 상환하게 되십니다
330,A32442,대출기간은 얼마나 되나요?
331,A32442,"거치기간 상환기간 각 10년씩, 최대 20년입니다"
332,A32442,거치기간이 무슨 뜻이에요?
333,A32442,거치기간이란 이자만 납입하는 기간을 의미합니다. 
334,A32442,부모님 동의를 받아야 하나요?
335,A32442,따로 부모님 동의절차를 구할 필욘 없습니다
336,A32442,네 알겠습니다.
337,A32442,모바일로도 신청 가능하죠?
338,A32442,"네, 가능합니다."
339,A32442,네 감사합니다
340,A32443,신용대출을 인터넷으로 신청 할 수 있나요?
341,A32443,죄송하지만 인터넷으로는 신청이 불가능합니다
342,A32443,직접 영업점에 가야 하나요?
343,A32443,네 영업점 방문하셔야 합니다
344,A32443,어떤 서류가 필요한가요?
345,A32443,직장인이신가요 사업자신가요?
346,A32443,사업하고 있어요
347,A32443,법인인가요 개인사업자 이신가요?
348,A32443,개인사업하고 있어요
349,A32443,그러시면 소득증빙서류와 신분증 사본만 제출하시면 됩니다
350,A32443,아무 지점이나 가도 되나요?
351,A32443,네 관계없습니다
352,A32443,거래가 있으면 우대 금리가 있나요?
353,A32443,가입상품이 있으시면 우대금리를 제공해 드릴 수 있습니다
354,A32443,그렇군요.
355,A32443,다른 문의 있으신가요?
356,A32443,마이너스 통장으로도 만들 수 있나요?
357,A32443,상환 방식은 직접 선택 하시면 됩니다
358,A32443,감사합니다.
359,A32443,네 감사합니다 상담 종료 하겠습니다
360,A32444,대출이자 관련 문의하고 싶은데요
361,A32444,혹시 이자 선납은 가능한가요?
362,A32444,네 고객님 이자 선납 문의 주신 것 맞으신가요?
363,A32444,네 제 개인사정상 미리내고 싶거든요
364,A32444,어떤 대출을 신청하셨나요?
365,A32444,주택담보대출입니다
366,A32444,원금도 상환하고 계신가요?
367,A32444,네 원금 내고 있습니다
368,A32444,고정금리인가요 변동금리인가요?
369,A32444,변동금리입니다
370,A32444,금리 변경 예정일이 없다면 원하시는 날짜에 선납 가능 합니다
371,A32444,모바일로도 가능한가요?
372,A32444,네 납부 하실 수 있습니다
373,A32444,어떻게 하면 되나요?
374,A32444,모바일 뱅킹 접속하셔서 대출이자 조회클릭하시고 납부란에서 진행하시면 됩니다
375,A32444,네 알겠습니다
376,A32444,다른 문의사항 있으신가요?
377,A32444,이자 납부내역 조회는 어떻게 하나요?
378,A32444,마찬가지로 모바일뱅킹 접속하셔서 대출이자 조회클릭하시고 조회란에서 확인할 수 있습니다
379,A32444,네 감사합니다
380,A32445,보험계약대출 조건 알아보고 싶은데요
381,A32445,네 고객님 보험계약대출 조건 문의주셨고요
382,A32445,보험계약대출 신청 대상 기준은 뭔가요?
383,A32445,보험 가입일로부터 1달이 경과되어야 합니다
384,A32445,신청인 기준이요
385,A32445,보험계약자와 자동이체 하시는 예금주가 동일해야 합니다
386,A32445,다른 기준은 없나요?
387,A32445,보험상품마다 차이가 있으나 대체로 언급한 내용이 주요합니다
388,A32445,대출지급계좌 기준은 별도로 있나요?
389,A32445,보험료가 3회 이상 자동이체로 출금된 계좌이셔야합니다
390,A32445,알겠습니다
391,A32445,보험대출이 안되는 경우도 있나요?
392,A32445,순수보장형보험은 불가능합니다
393,A32445,그럼 보험대출을 받아도 상품해지만 안하면 보험금 수령은 지장 없나요?
394,A32445,그렇습니다
395,A32445,모바일로 대출신청 가능할까요?
396,A32445,홈페이지나 모바일뱅킹으로 가능하십니다
397,A32445,편하군요
398,A32445,네 그렇습니다
399,A32445,네 감사합니다
400,A32446,주택담보 대출 받으려고 하는데 필요한 서류가 뭐가 있나요?
401,A32446,"네 급여명세표나 갑근세원천징수확인서, 소득금액증명원 서류 제출해주시면 됩니다"
402,A32446,작년도 급여활동이 없어서 증빙할 서류가 없는데요?
403,A32446,그러시면 신용카드사용액을 통해 연간소득으로 환산하는 방법도 가능합니다
404,A32446,전년도에 신용카드 사용액이 얼마정도 되시나요?
405,A32446,전년도 신용카드 사용액이 2000만원 가량 됩니다.
406,A32446,그럼 연소득은 얼마로 추정될 수 있죠?
407,A32446,신용카드 사용액이 2000만원이시면 추정소득은 약 4000만원입니다.
408,A32446,그러면 대출한도가 얼마나 나오나요?
409,A32446,정확한 한도는 신용조회와 서류 심사를 통해서 알려드릴 수 있습니다
410,A32446,그렇군요.
411,A32446,대출기간은 얼마로 설정해야 많이 나오나요?
412,A32446,대출기간은 최대 20년으로 설정하시면 대출한도는 1억원까지 가능합니다.
413,A32446,1억 이상은 안되나요?
414,A32446,아파트 담보대출은 정부방침상 1년에 최대 1억이 가능합니다
415,A32446,그럼 내년에도 추가로 대출신청이 가능한가요
416,A32446,"네, 그렇습니다."
417,A32446,네 알겠습니다
418,A32446,감사합니다 상담 종료하겠습니다
419,A32447,직장 들어간지 얼마 안됐는데 신용대출 가능한가요?
420,A32447,네 올해 연령이 어떻게 되시나요?
421,A32447,26살 입니다
422,A32447,만 20세 이상이시면 신청 가능하십니다
423,A32447,얼마까지 대출이 가능할까요?
424,A32447,소득과 신용도에 따라 다르기 때문에 답변드리기 어렵습니다
425,A32447,직장인이신가요?
426,A32447,네 회사 다니고 있습니다
427,A32447,얼마동안 근무하셨어요?
428,A32447,올해로 2년차 입니다
429,A32447,연봉이 얼마입니까?
430,A32447,연봉은 3천만원정도 됩니다
431,A32447,직장인 대출을 신청하는 경우엔 얼마정도 받을 수 있나요?
432,A32447,네 연봉을 기준으로 하면 약 1000만원정도 받을 수 있습니다
433,A32447,2000만원정도 필요한데요
434,A32447,다른방법 없을까요?
435,A32447,은행에 직접 내방하셔서 상담하시는게 좋습니다
436,A32447,그렇군요.
437,A32447,다른문의사항 있으신가요?
438,A32447,없습니다 감사합니다
439,A32448,보험약관대출 문의드리고 싶은데요
440,A32448,네 원활한 상담진행을 위해서 성함과 생년월일 말씀해주시겠어요?
441,A32448,고OO이고 OOOOOO입니다
442,A32448,개인정보동의를 위해 문자를 보신후 동의하시면 번호를 불러주세요
443,A32448,OOOO요
444,A32448,네 확인되셨습니다
445,A32448,저희 보험사에 4건 가입해있으시군요
446,A32448,네 맞아요
447,A32448,보험약관대출 한도가 궁금하신거죠?
448,A32448,맞아요
449,A32448,현재 고객님 명의로 가입된 보험으로 최대 300만원 가능하십니다
450,A32448,그거밖에 안돼요?
451,A32448,보험가입기간이 비교적 오래되지 않아서 그런 점 양해 부탁드립니다
452,A32448,혹시 제 아내 약관대출도 확인 가능할가요?
453,A32448,당사자가 직접 하셔야 합니다
454,A32448,가족인데요?
455,A32448,개인정보보호법상 어려운점 양해부탁드립니다
456,A32448,알겠습니다
457,A32448,보험약관대출 진행해드릴까요?
458,A32448,생각좀하고요
459,A32449,사업자금 대출 관련 문의드리고 싶은데요
460,A32449,네 어떤 부분 문의주시겠어요?
461,A32449,사업자금 대출을 받고 싶은데 얼마 받을 수 있는지 궁금해요
462,A32449,사업자등록증이 있으십니까?
463,A32449,네 있어요
464,A32449,등록하신지는 얼마나 되셨나요?
465,A32449,2년 좀 안됬습니다.
466,A32449,사업자금대출은 처음이신가요?
467,A32449,없습니다.
468,A32449,사업자금 대출한도나 조건은 사업소득액과 신용등급에 따라 달라집니다
469,A32449,한번 검토 받아보시겠습니까?
470,A32449,검토를 받으면 신용등급에 영향을 줄 수 있나요?
471,A32449,네 영향가지 않습니다
472,A32449,신용등급이 얼마 이상이어야 대출이 가능한가요?
473,A32449,사업자금대출의 경우에는 신용등급 3등급 이상이어야 가능합니다
474,A32449,흠.. 그렇군요
475,A32449,3등급 이하면 신청 자체가 안되는건가요?
476,A32449,네 그렇습니다 
477,A32449,네 감사합니다
478,A32449,네 상담 종료하겠습니다
479,A32450,대출 받을 수 있다고 문자가 왔는데 궁금해서 문의드려요
480,A32450,문자내용이 이해가 잘안되는데 이게 뭐죠?
481,A32450,어떤 내용의 문자를 받으셨나요?
482,A32450,OO론 가입대상이라고 문자가 왔습니다
483,A32450,"무보증, 무담보 신용대출로 자동승인 대상 고객에게 발송된 문자입니다"
484,A32450,신청하면 바로 대출이 가능한가요?
485,A32450,보통 한 달이 기한입니다
486,A32450,한달내에 받을 수 있는건가요?
487,A32450,네 그렇습니다
488,A32450,서류도 필요없나요?
489,A32450,신분증이랑 소득금액증명원만 있으면 됩니다
490,A32450,얼마 대출 가능한지 알 수 있나요?
491,A32450,영업점에 내방하셔서 상담하셔야 알 수 있습니다
492,A32450,이율은 알 수 있나요?
493,A32450,직접 가서 확인해보셔야 합니다
494,A32450,우대금리 받을 수 있나요?
495,A32450,네 있습니다
496,A32450,어떤 방법이 있나요?
497,A32450,급여이체 받으시면 우대금리 적용됩니다
498,A32450,그렇군요 감사합니다
499,A32451,서민금융대출 문의드릴려고 전화했어요
500,A32451,새희망홀씨대출은 신용등급이 낮아도 가능하죠?
501,A32451,세부요건이 은행별로 달라서 신청하면 무조건 되는건 아닙니다
502,A32451,신용이 낮은 계층한데 해주는 대출아닌가요?
503,A32451,금융취약계층을 위한 상품인건 맞습니다
504,A32451,신청해서 안될수도 있는건가요?
505,A32451,승인 거절도 될 수 있습니다
506,A32451,한도는 얼마 까지 인가요?
507,A32451,기간은 5년이고 최대 3천만원입니다
508,A32451,다른사에 카드론 대출이 있는데 괜찮나요?
509,A32451,얼마나 있으시죠?
510,A32451,5백만원 정도 있어요
511,A32451,새희망홀씨 대출에 포함되어 심사됩니다
