	상담사답변
621	네 고객님 문의주신 부분 답변 드리기 위해서 몇가지 질문드리도록 하겠습니다
627	고객님 성명과 생년월일을 알려주시면 심사진행이 어떻게 되는지 알아보겠습니다 
629	고객님, 현재 조회해보니 서류불충분으로 되어 있습니다. 전화를 드렸는데 아마 못 받으신 것 같습니다.
632	고객님, 제가 담당자에게 전화드리도록 안내하겠습니다. 
635	네 알겠습니다
637	네, 오늘중에 연락드리라고 하겠습니다.
640	고객님의 조건을 확인하고 대출한도를 알려드리겠습니다.
642	고객님의 연소득과 부채, 신용 상황, 등에 따라 결정됩니다.
644	네 중요한 요인이라고 볼 수 있습니다
646	네. 고객님의 직전년도의 상황에 따라 평균적인 수치로 심사하게 됩니다.
648	가까운 영업점에 방문하여 상담 후 신청가능합니다.
654	정확하진 않지만 일단 고객님의 대출 예상한도액은 000입니다. 
656	우대이율을 제외하고 0%정도로 예상됩니다.
657	해당내용은 대략적으로 조회한 내용이며 실제 영업점 방문 상담시에 내용은 변경될 수 있습니다.
660	안녕하세요. 분양 아파트 중도금 대출에 대해 안내드리겠습니다
662	지역에따라 다르고 아파트 시세에 따라 또 달라지기 떄문에, 대출액을 확정적으로 말씀드리긴 어렵습니다
665	네, OO은행부동산 시세와 한국감정원 감정가 중에서 높은 것으로 진행할 수 있습니다
672	직접 방문해주시면 심도있게 상담 가능합니다
674	네 오전 9시부터 오후 5시까지 입니다
676	아뇨 그냥 오시면 됩니다
678	감사합니다 상담 종료하겠습니다
684	연매출 1억원 초과업체는 매출감소를 입증하는 자료를 제출하셔야 합니다
686	POS자료, 매출액자료, 카드사자료, 전자세금계산서 등이 인정 받으실 수 있습니다
688	상환방식에 상관없이 신청일을 기점으로 최소 6개월이상 만기연장이 됩니다
690	영업점에 내방하시거나, 팩스나 온라인으로 신청서 접수 가능합니다
692	고객님 선택에 따라 일시 혹은 분할상환이 가능합니다
695	대출연장 신청은 OOOO번으로 전화하시면 됩니다.
704	네, 그러면 연금저축 담보대출이 가능합니다.
706	당행 홈페이지나 모바일앱에 접속하셔서 절차대로 하시며 됩니다
709	당행 홈페이지에 접속하시게되면 연금저축 조회 버튼을 누르시고 하단에 대출가능한도를 조회하시면 됩니다.
712	영업일기준 3~5일정도 소요됩니다
714	심사 후에 적합한 기준 충족 하시면 바로 입금해드립니다
716	다른 문의사항은 있으신가요?
718	고맙습니다 고객님
720	네 고객님 본인확인 후에 알려드리겠습니다
728	금일기준으로 000만원 입니다.
730	다시 확인 한번 해보겠습니다.
732	네 잔고가 부족하여 이자부분만 출금됐습니다.
734	17만원 부족합니다.
736	죄송하지만 한주간 연체된 이자분도 함께 납부해주셔야 합니다
738	그럼 확인 후 처리하고 문자 드리겠습니다.
746	총3건 받으셨습니다
748	작년 3월, 금년 2월과 7월 입니다
750	000만원입니다.
752	작년 대출금은 6%, 금년은 7% 입니다
754	정확한건 상환후 신용평점조회후 알수 있습니다.
758	더 문의사항 없으시면 상담을 종료합니다.
760	본인확인하고 안내드리겠습니다.
767	00카드 확인 되십니다.
769	000만원입니다.
771	금일까지 이자포함해서000만원입니다.
773	중도상환수수료는 일시에 전액상환일 경우에 발생하므로 고객님의 경우 해당사항 없습니다
777	잠시만 기다려 주세요
778	처리 되셨습니다
780	대출상품에 따라 다릅니다.
782	300만원 이하 소액대출의 경우 간단하게 모바일로도 가능합니다.
784	네, 심사서류가 필요합니다.
786	소득증빙서류와 신분증입니다.
791	직장인 마이너스 통장 개설이 가장 간편합니다.
793	500만원까지는 재직증명서만 내시면 바로 개설 됩니다.
795	네 가능합니다.
797	인터넷으로 일단 개설하시고, 추가로 금액을 상향하고 싶으시면 소득증빙자료를 가지고 영업점에 방문해 주시면 됩니다.
800	네 먼저 본인확인 후에 안내드리도록 하겠습니다
807	잠시만 기다려 주세요
809	3건의 계약에서 총000만원 받으셨습니다.
811	2015년3월에 000만원,2018년4월에000만원 받으셨습니다.
815	18년도 건 먼저 상환하고 나머지는 15년에 받으신 건에서 상환하겠습니다.
822	몇가지 질문드리고 확인 후에 안내 드리겠습니다
826	30세미만 단독세대주의 경우 대출에서 제외됩니다.
828	미성년인 형제자매중 1인이상 동일세대를 이루시면 됩니다.
830	 동거기간이 6개월이상인 경우 신청가능합니다.
832	대출 실행후 1년이상 전입신고를 마치지 않으시면 대출금 전액 회수 당할 수 있습니다
834	고객님 께서 문의주신 상품은 무주택자가 받을 수 있는 제일 좋은 상품입니다.
836	거치기간 포함 20년 상환입니다
838	더 궁금하신점이 없으시면 상담을 종료합니다.
842	재직증명서,근로소득원천징수영수증,준비하셔서 상담받으시면 추가대출가능합니다.
844	신용도에 따라 달라질 수 도 있지만 특별한 사유가 없으면 가능하십니다.
846	이사하실 집의 담보내용을 확인한 후 은행에서 전임대인으로부터 돌려받은 전세자금을 새 임대인에게 지급하는 방식입니다. 
848	고객님의 추가대출 실행후 같은 방법으로 변경해드립니다.
852	신용정보제공에 동의해 주시면 가능합니다.
858	고객님은 추가 대출이 가능하십니다.
866	현재 든든학자금으로 3건 있으십니다.
868	매년 일정액이상 중도상환 되시면 급여상환 들어가지 않습니다.
870	국세청에 소득이 신고된 다음해 부터 됩니다.
872	그렇습니다
874	3건에 000만원입니다.
876	홈페이지에서 가상계좌 발급받으셔서 상환하시면 됩니다.
878	네 상담을 종료하겠습니다
880	본인확인하고 안내드리겠습니다.
887	현재 2건 000만원 남으신걸로 조회됩니다
889	연금보험000만원,건강보험000만원 입니다.
891	대출이 있으시면 연금개시가 불가합니다.
895	아닙니다 고객님
897	미리 상환하셔서 연금수령에 차질 없으시길 부탁드립니다
902	네 고객님, 담보 대출 도와드리겠습니다
909	아파트 시세에 따라 다릅니다 보통 80%가능합니다
911	이율 3%입니다
913	최대 20년 가능합니다
915	네 서류지참하시어 은행을 방문하셔야 합니다
917	아파트 등기부등본, 고객님 신분증 가지고 오시면 됩니다
926	네. 직장이 있거나 수입이 있어야 대출할 수있습니다
928	소득과 직업, 신용상태에 따라 한도가 다르세요
931	그럼 필요서류를 지참하고 영업점을 방문하시면 됩니다
933	신분증과 소득금액증명원이 있어야합니다
935	제일 정확하게 아시려면 방문하시는게 좋습니다.
937	평일 오전 9시부터 오후 4시까지 입니다
939	점심시간은 12시부터 1시까지이지만 업무는 가능합니다
942	네 대출 할 수 있습니다
944	예금 잔액의 80% 이내로 할 수 있습니다
946	500만원 예금되어있어서 400만원가능합니다
948	변동금리로 3%정도 입니다
952	300만원 이하일때와 이상일때가 필요한 서류가 다르세요
954	300만원 이하일때는 신분증,통장,도장 만 있으면 됩니다
956	등본과 소득금액증명원이 추가로 필요합니다
958	그럼 서류를 지참하시고 가까운 은행에 방문해주시면 됩니다
960	가까운 지점 방문하시면 됩니다.
962	네 대출도와드리겠습니다
969	먼저 은행에 가셔서 계약서를 작성하셔야합니다
971	전세보증금의 최대 80%까지 받을 수 있습니다
973	네. 상품에 따라 차이가 있습니다. 현재 년2.3%~2.5% 정도의 금리로 대출이 가능합니다.
975	계약서를 작성시 전세대출이 꼭 필요한 경우 임대차계약서 특약조건을 넣으셔야 합니다.
977	네. 임대차계약서 특약조건에 전세자금 대출 실행이 불가 한 경우에는 이 건 계약을 무효로 하고 계약금을 반환하기로함 이라는 단서조항을 반드시 반영시켜야 합니다.
982	직장인 대출 도와드리겠습니다
986	직장인 대출은 최소 3개월이상이어야 합니다
990	3개월 지나서 서류 가지고 방문하시면 됩니다
992	재직증명서, 근로원천징수영수증, 신분증, 등본이 필요합니다
994	네 가능합니다
996	심사를 해봐야 알 수 있습니다
998	서류만 다 있으면 바로 됩니다
1004	대출신청을 위해서는 공인인증서가 필요합니다
1006	은행 홈페이지에서 받으실 수 있습니다
1008	네 영업점에 가셔서 신청하시면 됩니다
1010	온라인금융교육을 이수 하셔야 됩니다
1012	네 그렇습니다
1014	아직 학생이기 때문에 가족의 동의가 필요합니다
1016	가족관계증명서가 필요합니다
1018	대출신청자의 연령조건에따라 대출기간이 달라집니다
1020	네 가능합니다
1022	전세자금대출 안내해드리겠습니다
1025	금리는 2.0%입니다
1027	현재는 없습니다 고객님
1029	최대 10년 까지입니다
1031	집주인의 동의가 있어야 가능합니다
1033	계약을 했다는 확인을 받아야 합니다
1035	은행에서 대출 해드리고 질권설정을 해드립니다
1037	대출금에 대한 안전장치라고 할 수 있습니다
1042	네, 납입하신 보험료 확인을 먼저 도와드리겠습니다.
1047	고객님 명의로 3건의 보험이 있습니다
1049	세개 보험 합 500만원까지 가능합니다
1051	네, 한달 이후라도 언제든 상환 할 수 있습니다
1053	7%입니다
1057	네, 고객님 명의로 약관대출 300만원과 이자 지급일 매달 10일로 처리하였습니다.
1062	영업점 방문과 콜센터로 전화하는 방법이있습니다
1064	전화번호는 OOOO-OOOO입니다
1066	네 그렇습니다
1070	OOOO-OOOO 콜센터로 문의 바랍니다.
1072	자동이체 가능합니다
1074	콜센터로 전화하여 즉시 출금 요청 하시면됩니다
1076	OOOO-OOOO 입니다.
1078	홈페이지도 가능합니다
1080	네 감사합니다 상담원 000이었습니다
1089	보험약관대출 알려드리겠습니다
1091	네, 현재 고객님 명의로 약관대출 250만원까지 가능합니다
1093	네, 보험 가입기간 및 적립되는 보험료에 약관대출 금액이 달라져 편차가 있습니다.
1095	당사자가 확인하셔야합니다
1100	네, 고객님의 보험료 납부 통장으로 약관대출 해드리겠습니다
1103	다만 대출기간 만료전에 상환하시므로 중도상환 수수료가 발생하실 수 있습니다
1106	잔여대출기간의 이자의 3% 입니다.
1108	고객님 대출이 2건 있으십니다
1110	대출잔금 00원과 중도상환수수료 00원으로 총 000원을 납부하시면 됩니다.
1112	네 가상계좌 입금확인 후 상환 완료 처리해드겠습니다
1114	인터넷뱅킹이나 모바일 뱅킹을 이용해 확인할 수있습니다
1116	네 대출마다 다른 가상 계좌가 있습니다
1118	그러면 입금 가상계좌와 연결된 대출만 상환처리 되고 나머지 금액은 고객님께 다시 환급됩니다.
1120	네 없습니다
1124	적금 현재 잔액의 90%까지 대출 할 수 있습니다
1126	금리는 3.5%입니다
1128	인터넷 뱅킹, 스마트뱅킹 이용시 0.1% 할인 할 수 있습니다
1130	네 없습니다.
1132	신분증을 지참해 오시면 됩니다.
1134	신용 등급이 낮으시면 안 될 수 있습니다
1137	자세한건 영업점 가서 확인 하시면 되겠습니다
1139	최대 1억원까지 가능합니다.
1142	네 인터넷 대출 상환 도와드리겠습니다
1150	원금상환 메뉴 선택하시면 됩니다
1154	마이너스 통장 도와드리겠습니다
1156	대출약정 체결시 선택한 다음날 마이너스 계좌에서 처리 됩니다
1158	출금되는 날짜 변경으로, 동일 금액을 사용하셨더라도 일수에 따라 출금되는 이자금액이 다를 수 있습니다
1162	조건이 되시면 내릴 수 있습니다
1168	대출받으시고 고객님의 신용도가 오르셧다면 금리인하가 가능하십니다.
1170	네 있습니다
1172	대출받으시고 6개월이후부터 가능하십니다.
1174	네.있습니다.
1176	대출받으시는 기간동안 2회 가능하십니다.
1178	본인 신분증 가지고 지점에 방문해주셔야 합니다.
1180	홈페이지에서도 가능합니다
1182	네 직접 영업점에 방문하셔야합니다
1184	비대면으로 할 수 있는 방법 알려드리겠습니다
1190	그러면 비대면으로 할 수 있습니다
1193	그럼 일단 저희 보험사 어플 설치 후 공인인증서 등록을 해주시기 바랍니다.
1195	네, 어플 메인을 보시면 보험 메뉴가 있습니다
1197	맞습니다. 그곳에서 고객님께서 빌리고 싶은 종류로 들어가셔서 안내에 따라 진행하시면 됩니다.
1202	네 신용카드로 대출 도와드리겠습니다
1204	네 서류가 없어도 대출 할 수 있습니다
1206	어플,홈페이지,영업점을 통해 받으실 수 있습니다
1208	네, 가능합니다.
1210	조회 해보시면 알 수 있습니다
1212	네. 있습니다.
1214	09시부터 18시까지입니다
1216	상담사 연결은 대기자가 많아 시간이 오래걸립니다
1218	네, 상담사 예약신청 해드렸습니다
1226	은행 홈페이지에서 받으실 수 있습니다
1228	네 영업점에 가셔서 인터넷뱅킹 신청하시면 됩니다
1230	온라인금융교육을 이수 하셔야 됩니다
1232	네 그렇습니다
1234	아직 학생이기 때문에 가족의 동의가 필요합니다
1236	가족관계증명서가 필요합니다
1238	대출신청자의 연령조건에따라 대출기간이 달라집니다
1240	네 가능합니다
1243	결제일 변경 해드리겠습니다
1247	네 현재 25일입니다
1250	10일, 20일로 변경 할 수 있습니다
1252	네, 20일로 변경 완료되었습니다
1254	다음달부터 적용됩니다
1256	변경 후 처리되는데 일주일이 걸립니다
1258	네, 그렇습니다.
1263	자동이체 도와드리겠습니다.
1272	이체에서 자동이체 신청하는 부분이 있습니다
1285	네,만21세 이상이시면 가능하십니다.
1287	소득기준과 직업에 따라 다르세요
1297	네,감사합니다.고객님의 현재 대출가능 금액은 3000만원입니다.
1299	자세하게 알아보시려면 은행을 직접 방문해서 상담받아보셔야 합니다.
1302	콜센터,영업점,홈페이지로 다양하게 할 수 있습니다
1305	콜센터에 전화하셔서 상담원이랑 통화하시면 대출 가능합니다
1307	본인확인 후 보험대출 금액이 있다면 대출 할 수있습니다
1313	보험금 납입하는 계좌로 정해진 날짜에 자동이체 가능합니다
1315	콜센터로 연락주시면 가상계좌로도 할 수 있습니다
1317	네 그렇습니다.
1319	똑같이 콜센터나 홈페이지에서 상환 할 수 있으십니다
1322	네 가능합니다.
1326	네 은행에서 신청 하셔야 이용할 수 있습니다
1330	직접 은행에 방문하셔야합니다
1332	출금서비스 신청을 하시면 됩니다
1334	타은행이 이용이 불가합니다
1336	현금 100만원 입니다
1338	1일한도는 600만원 입니다
1345	금리는 3.0%입니다
1347	지금은 없습니다
1349	최대 10년 까지 가능합니다
1351	집주인의 동의가 있어야 가능합니다
1353	계약을 했다는 확인을 받아야 합니다
1355	은행에서 대출 해드리고 질권설정을 합니다
1357	대출금에 대한 안전장치라고 할 수 있습니다
1371	이체에서 자동이체 신청하는 부분이 있습니다
1388	현재 3달 연체되어 있습니다
1390	총 33만원입니다.
1392	네 가능합니다
1394	자동이체 신청한 통장에서는 매달 말일,5일 이체 가능합니다
1396	가상계좌도 가능합니다
1398	계좌명이 고객님 전용 계좌이므로 안전합니다
1400	00은행0000000으로 보내주시면 납부 완료됩니다
1402	네 이체 할 수 있습니다
1409	총 20만원입니다
1412	자동이체 신청한 통장에서는 매달 10일,20일 가능합니다
1414	무통장입금 가능합니다
1416	고객님 전용계좌이십니다
1418	네 가능합니다
1420	00은행 0000000으로 보내주시면 됩니다
1422	네 통장없이 출금 할 수 있습니다
1424	출금 서비스를 통해 ATM에서 출금 할 수 있습니다
1427	본 서비스 이용하시려면 영업점에 방문하셔서 신청해야합니다
1429	최대 100만원입니다
1431	1회용 무카드 출금 메뉴에서 가능합니다
1433	앱을 설치하고 로그인하여 1회용 무카드 출금 메뉴에서 신청하시면 됩니다
1435	네 1회용 비밀번호 8자리가 생성됩니다
1439	최대 100만원까지 가능합니다
1442	결제일 변경 도와드리겠습니다
1446	네 현재 5일입니다
1449	10일, 24일로 변경 할 수 있습니다
1451	네, 10일로 변경 완료되었습니다
1453	다음달부터 적용됩니다
1455	변경 후 처리되는데 일주일이 걸립니다
1457	고객님 다음달부터 가능합니다.
1464	우대고객이 되면 수수료 면제입니다
