	고객질문(요청)
114	위임장이요? 위임장의 양식은 따로 정해져 있나요?
118	주거래 지점에 꼭 방문해야 하나요?
120	제가 통장을 잃어버렸는데 거래내역을 확인할 수 있나요?
124	얼마나 조회할 수 있나요?
129	만약 1년 이전 메뉴가 필요하면 어떻게 하죠?
131	은행에 방문하면 바로 조회해서 출력할 수 있나요?
133	어떤 서류를 챙겨가야하나요?
135	배우자의 통장인데 제가 대신 가도 되나요?
139	다른 방법이 없나요?
141	통장의 잔액을 확인할 수 있는 증빙서류를 받아야 하는데 혹시 있나요?
143	발급은 어떻게 받아야 하나요?
145	대리인이 가도 되나요?
147	그럼 꼭 제가 가야하나요?
152	영문증명서도 가능한가요?
154	한번에 한계좌씩 신청하나요?
158	그럼 지정일이 한달전인건 인터넷으로 가능한가요?
160	증명서에 압류된 내용도 들어가나요?
162	법인의 예금잔액증명서 발급받으려고 하는데 어떤 서류가 필요하지요?
166	대리인은 회사 직원만 가능한가요?
168	수수료도 있나요?
170	카드 결제가 되나요?
172	조회계좌에서 출금하면 안되나요?
174	무엇인가요?
176	그럼 모든 입출금거래완료 후 잔액증명서를 발급받아야하나요?
179	휴면계좌도 잔액증명서 발급이 가능한가요?
181	동일하게 하면 되나요?
183	예금잔액증명서를 발급받고 싶어요.
185	신분증만 들고가면 되요? 아니면 다른 서류 필요한게 있나요?
189	서명으로 거래할 수는 없나요?
191	혹시 대리인이 대신 예금잔액증명서 발급받을 수 있나요?
196	수수료도 있나요?
198	전산발급말고 수기발급이면요?
204	자동이체도 안되는거에요?
206	통장의 입출금 거래내역을 알림받고 싶은데 가능한가요?
208	어떻게 받을 수 있나요?
210	비용이 얼마나 나오나요?
212	건수에 상관없나요?
214	혹시 무료알림은 없나요?
218	아니요 앱말고 다른 방법은 없나요?
229	통장 거래내역이 문자로 오지 않아요. 확인부탁드려요.
244	얼마인가요?
246	그럼 신랑카드와 제 카드 각각 500원이 청구되나요?
248	가족카드로 인한 할인은 없나요?
252	통장이 없는 계좌에 대해서도 거래내역을 확인할 수 있나요?
256	조회기간이 3개월밖에 안나오던데요?
260	더 예전 거래내역이 필요하면 어떻게 하죠?
262	오늘 바로 필요한데 가능한가요?
264	은행에 방문하면 바로 출력할 수 있나요?
266	신분증만 챙겨가면 되나요?
268	아이의 통장인데 제가 대신 가도 되나요?
270	부모 모두 가야하나요? 남편은 못갈것 같은데요?
272	공인인증서가 없는데 거래내역을 확인할 수 있나요?
274	어떻게하면 되나요?
276	공인인증서가 없어도 로그인이 된다구요?
278	그럼 공인인증서와 접속방법의 차이 말고는 똑같나요?
280	저는 거래 내역과 입금확인증을 발급받고 싶은데 가능한가요?
286	거래 내역은 얼마나 조회 가능한가요?
290	얼마나 걸리나요?
292	제 계좌 잔고를 알수있을까요?
312	모바일에서 잔액확인 방법을 알려주세요.
325	공인인증서 비밀번호 눌러서 들어가는게 맞나요?
332	온라인으로 계좌 잔액 확인 하려면 어떻게 해야 하나요?
352	인터넷뱅킹으로 잔액 확인을 하고 싶어요.
358	직접 방문해야 하나요?
360	방문시 필요한 서류가 있나요?
362	가까운 지점이 어디일까요?
366	OO동 OO역에서 가까운 지점은요?
368	혹시 전화번호 있나요?
372	인터넷 뱅킹으로 잔액을 확인하는 법을 알고 싶어서요.
392	수고하십니다 통장 거래 내역서가 필요해서요
405	그렇게나 많나요?
407	혹시 메일로도 받을수 있나요?
412	수고 하십니다.작년 통장 거래내역을 확인하고 싶은데요.
418	그래요? 메뉴를 못찾겠던데요?
432	수고 하십니다. 제가 통장을 분실했는데요. 거래내역을 확인하려면 어떻게 해야 하나요?
444	하 은행 가기가 쉽지 않아서 문의한건데 직접 가야하나요
449	아 그래요? 종이로도 뽑아 볼수 있어요?
452	수고하십니다 제가 통장정리를 몇년동안 한번도 안해서요 내역 확인을 하고 싶은데…
461	1년꺼가 모두 다 팩스로 받을 수 있어요?
465	그럼 500건이 넘는지 안넘는지 알수가 없는데 어떻게 해야하요?
467	그럼 영업점 방문할때 통장만 들고 가면 되나요?
468	영업점 방문하려면 제가 뭐 들고 가야되요? 통장만 들고가면 되나요?
472	수고하십니다. 통장 정리를 너무 안해서요. 거래내역 좀 알고 싶어서요.
475	통장정리를 너무 안해서요, 제가 거래내역을 알수가 없는데 예전 내역은 알수가 없어서 어떻게 하면 되나 해서요.
483	156건이면 A4로 몇장정도 되나요?
488	혹시 거래내역 조회 다른 방법도 있나요?
492	수고하십니다. 혹시 해지한 계좌 거래내역도 확인 가능한가요? 
510	거래 내역도 자세히 안보이네요?
512	안녕하세요 해지한 계좌 거래내역 좀 알 수 있을까요?
518	모바일? 그건 어떻게 쓰는 거에요?
520	그래요? 잠시만요. 어떻게 설치하는 거죠?
523	아 그럼 뭐에요 어떻게 해야 하죠?
525	그럼 거래내역 확인 가능한거에요?
527	그럼 혹시 은행에서도 거래내역 뽑아 주나요?
532	딸아이가 초등학교 때 해지한 계좌가 있어요. 거래내역을 확인 할 수 있을까요?
538	출력물로 확인하고 싶은데 어떻게 하면 되나요?
540	아이와 함께 가야 하나요?
544	기본증명서는 아이 기본증명서 이야기 하는 건가요?
547	혹시 아이와 함께 가면 가족관계증명서는 없어도 되나요?
549	가족관계증명서, 기본증명서는 꼭 필요한 거네요?
552	수고많으세요 해지한 계좌 거래내역을 알고 싶어서요
558	모바일뱅킹 필요한가요?
564	좌측 상단에 조회 서비스가 보이시나요?
567	조회 서비스를 클릭 하시고 제일 아래 해지계좌조회가 보이시나요?
572	수고하십니다. 해지한 계좌 거래내역도 혹시 확인 가능할까요?
575	필요없을것 같아서 해지 했는데 필요한 거래내역이 있네요.
586	그런데 5년 이내의 내역만 확인 되네요?
588	그럼 5년 이전 내역도 혹시 조회 되나요?
592	딸아이가 아직 미성년자인데 얼마전 해지한 계좌가 있어요. 통장 거래내역 확인 가능한가요?
598	출력물로 받을수 있나요?
602	그냥 가면 되나요?
606	아이도 같이 가야 하나요?
608	아이랑 같이 가면 서류 안가져 가도 되나요?
612	우리 아이 해지된 계좌를 제가 살펴보고 싶은데요.
624	필요서류가 뭐죠?
626	기본증명서가 뭐에요?
632	얼마전에 아이가 통장을 해지 했는데 제가 거래내역을 확인할 수 있을까요?
636	그래요 다행이네요 어떻게 해야 하죠?
638	방문할때 필요한게 있나요?
640	기본증명서는 제 기준인가요?
644	그러 은행은 저 혼자서 방문해도 되나요?
647	그럼 지점에 가면 서류 발급은 바로 되나요?
649	혹시 수수료 같은게 있나요?
652	거래내역 좀 보려고 하는데 인터넷은 잘 모르겠네요.
668	혹시 팩스로 받아볼수 있을까요?
672	통장 정리하면서 내용을 압축했는데 상세내용 확인할 방법이 있을까요?
677	 통장에 압축한거 다시 표기할 방법이 있나요?
679	그러면 다시 확인 하는 방법이 없을까요?
680	통장을 재발급하면 가능할까요?
682	그러면요?
684	6개월 이전꺼는요?
686	신분증만 있으면 되나요?
692	수고하십니다. 통장 압축정리한 부분 거래내역이 필요합니다.
700	그냥 팩스로 받아볼 방법이 없을까요?
702	혹시 통장에 다시 표기해주시는건 없나요?
712	통장 압축한거 다시 풀수 있어요?
721	은행 직원한테 이야기 하면 되나요?
723	양은 얼마든지 상관 없어요?
727	수량이 많아지면 비용이 꽤 되겠네요.
732	신용카드 거래내역을 확인하고 싶어서요.
736	카드를 쓰고 있는데 회원가입 따로 해야 하나요?
738	회원가입하면 거래내역 확인이 간단한가요?
743	신청하면 쓸때마다 문자가 오나요?
745	그럼 문자 내역만 봐도 사용내역 확인이 되겠네요?
748	지금 신청 할 수 있나요?
752	신용카드 거래내역은 명세서에서만 확인할 수 있나요?
755	팩스 말곤 없나요?
759	회원가입 해야 하나요?
761	카드 정보로 확인은 안되나요?
763	혹시 메일로 거래내역 받아볼 수 있나요?
772	지난달 사용한 카드 거래내역서를 받아볼 수 있나요?
774	팩스가 없는데 혹시 다른 방법이 있을까요?
778	회원가입 말고는 방법이 없을까요?
790	지금 바로 발송해 주시나요?
792	신용카드 거래내역을 좀 받고 싶은데요.
804	어떤 방법이 있어요?
812	법인통장 거래내역을 확인하고 싶어서요.
816	거래인감이 없는데 법인통장 거래내역을 발급받을 수 있나요?
822	대리인도 인감이 필요해요?
824	올초에 발급 받아 놓은게 있는데 사용할 수 있나요?
826	회사 주거래 지점으로 문의하면 되나요?
829	신분증은 운전면허증으로도 가능 한가요?
832	통장 거래내역 조회가 가능할까요?
836	거래인감을 잃어버렸는데 가능할까요?
838	거래인감을 새로 등록하려면 필요한게 뭔가요?
842	제 인감도 있어야 하나요?
844	그러면 인감 발행일은 상관 없나요?
846	3개월 지난건 다시 발급받아 가져가야 하나요?
852	법인통장인데 거래내역 확인 가능한가요?
856	방문 안하고 받을수 있는 방법은 없나요? 거래인감을 분실해서요.
858	준비해야 할 서류같은게 있나요?
862	제 인감도 있어야 하나요?
874	혹시 거래내역에 기간 지정시 제한사항 있나요?
876	그럼 메일이나 팩스로 받을수는 없을까요?
878	거래인감을 분실했는데…. 가능할까요?
892	수고하십니다. 제가 예전에 펀드에 가입한 기억이 있는데요. 혹시 내역 확인이 될까요?
904	휴면계좌면 거래내역이 보이지 않나요?
912	저기요 제가 예전에 창구에서 펀드 가입한게 있는데 확인이 안되네요.
914	인터넷뱅킹으로 봤는데 못찾겠어요.
923	혹시 메뉴위치 확인 가능 할까요?
932	제가 가입한 OO펀드 거래내역 확인 좀 할 수 있을까요?
934	증권사 앱이 너무 복잡해서 찾을수가 없어요.
946	거래내역 다운 받을수 있나요?
952	수고많으십니다. 제가 예전에 OOOO펀드에 가입하곤 잊고 있었는데 확인 가능할까요?
962	온라인 으로는 확인이 안돼는데 왜 그런가요?
964	그럼 저처럼 지내다가 펀드가 있는지 조차 모르는 사람들도 있겠네요?
967	제가 가입한 펀드 거래내역 메일로 받아볼수 있을까요?
969	영업점 방문하면 바로 발급이 되나요?
992	수고하십니다. 제 계좌 최근 1년내 거래내역 확인 좀 하려고요
999	그럼 신청 당일 바로 수령이 가능한가요?
1005	혹시 방법이 없을까요?
1012	수고하십니다. 최근 6개월내 거래내역이 필요해서요.
1014	서류로 필요한데 모바일로도 프린트가 되나요?
1016	유학서류여서 영문으로 필요한데 발급 가능할까요?
1018	당일 발급은 문제 없나요?
1024	갑자기 서류를 내일까지 내라고 하는데 하루만에 안될까요?
1026	그럼 가까운 지점 몇곳 안내 부탁해요.
1032	최근1년 이내 거래내역이 필요해서요.
1035	영문거래내역서도 온라인으로 확인 될까요?
1038	신청하면 발급은 바로 될까요?
1040	시간이 꽤 걸리네요?
1042	최대한 빨리 발급 받을수 있는 방법이 없을까요?
1044	지점 방문해서 직접 확인을 해야 겠네요?
1046	여기가 서초구 OO동 인데 가까운 지점 몇곳 연락처 알수 있을까요?
1052	수고 하십니다 영문거래내역에 관해 궁금한게 있어서요.
1058	방문해야 하나요?
1060	신청하면 발급은 당일 되나요?
1064	제가 사정이 있어 좀 급한데 방법이 없을까요?
1066	왜그런가요?
1072	수고하십니다. 혹시 신용불량자도 통장 개설이 되나요?
1074	그럼 잔고 압류는 당하지 않을까요?
1075	압류방지 통장 뭐 그런게 있다던데 가능한가요?
1079	그럼 저는 힘들겠네요?
1081	그래요?
1083	압류범위 설정하기도 전에 입금된 돈이 다 빠져나가면 어떻게 해요?
1088	제가 설정범위를 아주 작게 해 놓아도 되는건가요?
1092	신용불량자도 통장 만들수 있나요?
1095	압류 안당하게 하는 통장이 있다던데 그래요?
1097	그래요?저 신청 하고 싶은데요.
1099	저같은 일반 월급쟁이는 안되나요?
1103	압류범위요?
1105	만약에 압류처리가 안되어 있으면 문제가 없겠네요?
1108	설정범위는 제 맘대로 할 수 있나요?
1112	수고 하십니다. 제가...신용불량자인데요 잔고 때문에 궁금한게 있어서요.
1115	압류 당할까 걱정 되어서 그러는데 방법이 없을까요? 
1116	혹시 연금수급자 또는 국가지원금처럼 국가 사업관련해서 수령하시는 금액이 있으신가요?
1120	혹시 다른 방법은 없을까요?
1122	금액설정이요?
1124	압류범위를 설정할 수가 있어요?
1128	그럼 압류범위 제한은 있나요?
1132	 수고하십니다. 통장 잔고 문제로 궁금한게 있어서요.
1134	제가 신용불량자인데 취직이 되서 통장을 만들려고 해요 혹시 통장을 만들면 잔고가 바로압류될요?
1136	그럼 압류방지통장인가 있다던데요 저도 만들수 있을까요?
1140	연금수급자나 국가지원금 수급자만 발급이 되나요?
1142	월급이 들어오자 마자 전부 압류당할까봐 그게 좀 걱정이 되어서요.
1144	압류범위 설정이 뭔가요?
1146	 압류범위를 제마음대로 정할수 있다는 거에요?
1148	압류범위 설정할 때 소액으로도 되나요?
1152	수고많으세요 해약된 적금의 거래내역을 조회하고 싶은데 앱으로 확인이 될까요?
1156	인터넷 뱅킹으로 확인해 봤는데 다 보이지 않더라구요?
1158	어 스마트 뱅킹에서 저축성 계좌 확인하려는데 안보이던데요? 2년이 안됐어요.
1160	인터넷 뱅킹이랑 스마트 뱅킹 둘다 다 보이는건 아닌거에요?
1164	해지내역조회 들어갔는데 거래내역은 안보이네요?
1168	2년 넘은건 영업점 방문 맞나요?
1172	만기 해지한 적금의 거래내역도 조회가 되나요? 앱에는 안보여서요.
1176	인터넷 뱅킹으로는 어디서 확인 가능 할까요?
1192	인텃넷 뱅킹으로 계좌 잔액 조회를 하고 싶은데요.
1200	아니요 어떻게 하죠?
1206	발급완료 했어요 이젠 어떻게 하죠?
1212	수고 많으세요. 폰뱅킹으로 계좌 잔액 조회를 하고 싶은데요.
1232	수고하십니다. 거래 내역 조회는 어디서 하나요?
1241	사용법은 간단 한가요?
1252	수고하십니다.기간별로 거래내역 조회가 가능한가요?
1253	기간별 거래내역 조회 가능여부가 궁금하신가요?
1258	최근거래 내역만도 조회 되나요?
1260	조회내역 출력도 되나요?
1262	모바일에서는 출력이 안돼요?
1270	필요한게 혹시 있나요?
1274	거래 상세내역을 확인하고 싶어서요.
1278	송금 상세내역을 보고 싶은데 어떻게 하나요?
1280	제가 기관에 제출해야 하는데 출력도 되나요?
1282	모바일에서는 출력이 안돼요?
1292	수고하십니다. 거래내역 확인하고 싶어서요.
1296	성함이 어떻게 되시나요?
1304	혹시 팩스로 받아볼수 있나요?
1312	수고하십니다. 궁금한게 있어서요.
1315	카드 명세서를 다시 받아 볼수 있을까요?
1323	우편 말고 다른 방법이 있을까요?
1328	바로 발송해 주시나요?
1332	수고하십니다. 카드명세 조건별 내역서 조회가 가능한가요?
1336	모바일 앱에서 말씀이신가요?
1338	어떤 항목들 별로 조회 할 수 있나요?
1340	우편 청구서에는 기재가 안되나요?
1342	자료는 남아 있다는 거네요?
1344	혹시 현금서비스 내역 확인가능한가요?
1352	수고하십니다. 궁금한게 있어서요.
1354	주식을 계좌를 개설하고 거래를 했는데 거래내역 조회는 어디서 하나요?
1356	인증서 로그인을 해야 하나요?
1358	전화로는 확인 안되나요?
1360	내역에는 상세 내용이 표기 되어 있나요?
1362	혹시 우편으로 받아 볼수도 있나요?
1369	언제부터 받아 볼수 있나요?
1372	수고하십니다. 문의드릴께 있어서요.
1378	왜그런거죠? 계좌주가 필요하지 않는데요?
1380	그럼 거래내역은 계속 남아 있는 건가요?
1386	그럼 혹시 본인 말고 타인이 조회도 가능할까요?
1388	전화로는 확인 안되나요?
1390	믿어도 되는거죠? 알겠어요.
1392	주식 거래 내역중 이상한 부분이 있어서요.
1394	주식 거래를 시작했는데 내역에 OOO증권이 뭔가요?
1406	지난 OO일요?
1412	저기요 주식 거래 내역 확인 좀 해주세요.
1418	미수금이 뭔가요?
1421	그럼 제가 돈을 잃었다는 건가요?
1424	취소할 방법은 없나요?
1426	매도하면 해결이 되나요?
1428	그런데 제가 산 가격보다 떨어졌는데요?
1432	수고하십니다. 제가 보유한 계좌의 잔액증명서 발급 가능한가요?
1433	계좌의 잔액 증명서가 필요하신 건가요?
1435	발급이 되나요?
1437	팩스로 받을수 있나요?
1439	필요한게 있나요?
1441	혹시 대리인 신청도 가능한가요?
1443	대리인 방문시 필요 서류가 있나요?
1445	혹시 다른은행 잔액증명서도 통합 발급이 되나요?
1447	혹시 비용이 있나요?
1452	수고하십니다. 거래내역 삭제 문의 드려요.
1454	계좌 거래 내역 삭제 하고 싶은데 가능할까요?
1459	어플에서 되는건가요?
1472	 계좌 거래내역을 팩스로 받을수 있을까요?
1481	네 상세하게 거래내역이 나오나요?
1485	그럼 혹시 메일로도 가능할까요?
1492	은행거래내역을 엑셀 파일로 다운받을수 있나요?
1496	다운방법 설명 부탁드려요.
1512	계좌 거래내역을 파일로 받을수 있을가요?
1514	어떤 종류의 파일로 받을수 있나요?
1516	한글파일은 안되나요?
1532	저기요.송금내역 확인하다 보니 잘못한 부분이 있어서요.
1548	중요한 돈인데 다시 찾을수 있을까요???
1552	수고하십니다. 모바일 거래내역 알림설정에 궁금한 점이 있어서요.
1558	어떻게 하는지 설명해주실 수 있나요?
1572	안녕하세요. 거래내역 확인이 안되어서요.
1592	수고하십니다. 통장을 사용하지 않고 입출금 거래내역 쉽게 확인 하는방법이 있을까요?
1608	아 네 보이네요 여기서 조회하면 되나요?
1612	제 계좌 잔고를 알수있을까요?
1632	모바일 잔액확인 방법을 알수있을까요?
1637	모바일 뱅킹 앱은 어떻게 까나요?
1646	클릭해서 들어갔는데 잔액조회 메뉴가 어디있나요?
1652	인터넷으로 잔액확인 하는 방법을 알수 있을까요?
1672	인터넷뱅킹으로 잔액확인 할 수 있나요?
1677	인터넷뱅킹 회원은 어떻게 가입하나요?
1681	OO은행에 방문을 해야 하나요?
1683	방문시 필요한 서류가 있나요?
1690	OO은행 지점이 제일 가깝나요?
1692	인터넷뱅킹에서 잔액조회 하고싶어요?
1712	인터넷뱅킹 잔액조회 하고싶은데 인증서를 등록하라고 하는데요?
1721	인증서 등록은 어떻게 하나요?
1732	인터넷뱅킹 잔액조회하려는데 인증서등록 어떻게 하나요?
1772	인터넷상에서 잔액을 확인 가능할까요?
1792	인터넷 잔액조회중 에러메세지가 보여요?
1797	어떻게 해결해야 하나요?
1802	법인회원은 뭐 다른가요?
1804	어디로 전화를 해야 하나요?
1806	전화를 하면 바로 연결이 되나요?
1808	2번을 누르고요?
1810	네 사업자 번호를 누른 다음에는요?
1812	OO은행 사이트 잔액조회중 에러가나요?
1815	에러가 왜 뜰가요?
1824	어떻게 조치를 취해야 하나요?
1832	잔고조회중 사이트가 저절로 닫혀요?
1852	OOOO년12월31일 잔고를 확인 할 수 있을까요?
1855	확인이 가능할까요?
1857	어떻게 하면 확인이 가능할까요?
1864	메시지가 뜨는데요?
1868	어떻게 잔고의뢰를 하면 될까요?
1872	모바일 잔고확인 메뉴가 어디있나요?
1882	클릭하시니까 뭐가 보이세요
1892	모바일 잔액조회하려는데 앱이 자꾸 닫혀요?
1898	어떻게 해야 할까요?
1900	충돌이요?그러면 어떻게 해결을 해야 할까요?
1902	앱을 어떻게 지우나요?
1910	그리고 구글에 ㅇㅇ은행앱을 다시깔면 되요?
1912	모바일 잔고확인시 인증서가 있어야 하나요?
1932	핸드폰으로 모든은행 잔고조회 가능하가요?
1939	OO은행만 회원가입이 되어있으면 안되나요?
1941	회원가입은 어떻게 하나요?
1943	회원가입시 필요한게 있나요?
1945	회원가입만 하면 조회가 가능한가요?
1947	인터넷/모바일 모두 가입한다고 말하나요?
1954	오픈뱅킹 계좌관리라고 하나요?
1956	어떻게 조회를 할 수 있나요?
1972	온라인뱅킹 잔고조회가 안되요?
1984	모발일 뱅킹에 들어가 있어서 그렇다구요?
1986	PC/모바일 뱅킹 동시에 접속이 안되는군요?
1997	어떤어떤 다양한 방법이 있나요?
2008	잔고조회 메뉴를 누르면 잔고확인이 가능한가요?
2012	잔액확인 방법이 뭐가 있을가요?
2017	여러 경로라 함은 어떤 경로가 있나요?
2022	아 전화로 하는 조회가 가장 쉬운방법인가요?
2034	왜 전화연결이 안되는 건가요?
2039	연결이 안될경우 전화를 끊고 다시 걸어야 하나요?
2041	통화량이 많아서 그런건가요?
2043	통화량이 적을때는 언제인가요?
2045	그때는 통화연결이 잘 되나요?
2047	혹시 다른 전화번호는 없나요?
2052	잔액확인을 위해 상담원 연결이 가능한가요?
2057	상담원 통화없이도 가능한가요?
2066	그러면 잔액조회가 가능한건가요?
2068	상담원과 연결하여 조회하는 방법은요?
2070	0번을 누르면 상담원과 연결이 되나요?
2072	잔액이 맞지 않아요?
2092	외상매출채권 잔고 조회할수 있을가요?
2112	외상매출채권 잔고를 어떻게 높이나요?
2125	인감증명은 어디서 발급받나요?
2128	팩스번호요?
2130	서류확인후 외상매출채권 잔고를 높여주나요?
2132	전자대출 잔고 내에서 할인하고 싶어요.
2141	할인이율이 어떻게 되나요?
2143	4900만원 할인하면 이자가 얼마나 나올까요?
2145	더 싸게 할인 할 수 있는 방법은 없나요?
2152	구매론 잔고 신설하고 싶어요?
2162	법인등기부등본으 어디서 발행하나요?
2164	그 외 필요서류는 없나요?
2166	서류전송후 구매론 잔고 사용이 바로 가능한가요?
2168	구매론 승인은 어떻게 받나요?
2170	그러면 바로 구매론 잔고를 쓸 수 있나요?
2172	대출잔액 확인해주세요?
2185	주택담보대출이 얼마나 남았나요?
2187	대출잔액이 3억 남았다구요?
2189	잔액 3억을 일시납하면 중도상환 수수료있나요?
2192	현금서비스를 쓰고 있는데 한도잔고 조회요?
2201	현금서비스 총 한도가 어떻게 되나요?
2203	현금서비스 잔고는 얼마나 남았나요?
2208	현금써비스 이율이 어떻게 되나요?
2212	은행거래내역을 팩스로 받을수 있을까요?
2221	상세하게 거래내역이 나오나요?
2225	아 메일로도 가능한가요?
2232	은행거래내역을 엑셀화일로 받고 싶포요
2252	은행거래내역을 파일로 받을수 있을가요?
2254	어떤 파일로 받을수 있나요?
2256	아래한글은 안되나요?
2260	엑셀,PDF 파일이 있는지 어디서 찾나요?
2262	프로그램에 들어가서 어떻게 하나요?
2268	프로그램을 어떻게 까나요?
2270	무료인가요?
2272	거래내역 확인해 보니 잘못 거래되었어요?
2289	찾을수 있을까요?
2292	모바일 거래내역 알람설정이요?
2296	네 가능한가요?
2298	어떻게 설정을 하나요?
2309	알람 on쪽으로 활성화 하면 거래내역 뜨나요?
2312	안녕하세요. 거래내역 확인이 안되는데요?
2324	거래내역 확인 되나요?
2332	입출금 거래내역 쉽게 확인 하는방법이요?
2339	인증서요?
2341	인증서가 있어야 하나요?
2348	인증서 발급시 필요서류가 있나요?
2352	입출금 거래내역 모바일에서 확인 할 수 있나요?
2354	어떻게 확인이 가능한가요?
2367	상세 거래 내역을 확인 할 수 있을가요?
2372	거래내역을 프린터 출력하고 싶어요?
2392	OOOO년대 거래내역을 조회할수 있을까요?
2399	꼭 방문을 해야 하나요?
2401	OOOO년도는 인터넷으로 조회가 어려운가요?
2404	방문시 가지고 가야할게 있나요?
2406	본인이 방문을 못하면요?
2408	위임장과 주민등록증보다 더 간단한 방법은 없나요?
2412	2020.11.06일 이체한  상세 거래내역 알수있을까요?
2418	루이스라의 전화번호나 주소를 알 수 있을가요?
2420	제가 보이스피싱을 당했는데두요?
2426	루이스라는분의 전화번호 주소를 알고싶으면요?
2428	방문하면 상세내용을 알 수있을가요?
2432	마이너스통장 잔고가 얼마 있나요?
2436	마이너스 통장 한도를 늘일수는 없나요?
2445	마이너스통장 한도 증액은 어떻게 해야 할까요?
2449	은행에 방문하면 될까요?
2452	제 주택청약통장으로 청약이 가능할까요?
2457	제 청약통장을 사용하고 싶은데 사용이 가능한가요?
2459	네 조건이 어떻게 될까요?
2464	청약통장 잔액에 따라 청약이 달라지나요?
2472	퇴직연금 중도인출 가능한가요?
2479	퇴직연금 중도인출이 가능할까요?
2487	선급금 영수증이요?
2489	그 외 필요서류는 없나요?
2498	제 퇴직연금은 어떤 상품인가요?
2500	2017년 이후 실적이 어떻게 되나요?
2502	지금 현재 잔액은 얼마인가요?
2505	더 좋은 퇴직연금 상품은 없을까요?
2510	그럼 OO은행으로 퇴직연금을 옮겨도 될까요?
2512	카드출금 거래불가라고 나와요?
2522	어떻게 거래불가를 풀어야 하나요?
2524	전화로 신분확인후 처리는 어려울까요?
2526	방문시 필요서류가 있나요?
2528	그러면 바로 거래불가를 풀어주나요?
2532	카드로 100만원 출금이 안되요?
2543	왜 60만원만 출금이 되나요?
2545	3개월간 거래내역이 없어서 안되나요?
2547	정상적으로 풀려면 어떻게 해야 하나요?
2550	지속적이 거래가 발생해야 하는군요?
2552	해외송금은 언제 이용가능한가요?
2554	주말도 가능한가요?
2556	해외송금을 보내는 방법이요?
2560	계약서와 인보이스요?
2562	그러면 해외송금 거래내역 확인서를 출력해주나요?
2568	상세정보도 볼 수 있나요?
2570	조회가능기간이 얼마인가요?
2572	날짜를 설정하여 거래내역 확인할수 있을까요?
2574	어떻게 설정하여야 하나요?
2592	2020년 납부한 세금 거래내역 확인을 어디서 하나요?
2596	홈페이지요?
2612	OO은행OO은행입니다. 무엇을 도와드릴까요?
2613	빠른 조회 서비스를 이용하고 싶어서요
2615	인터넷 뱅킹은 어떻게 가입하나요?
2617	가입 후에는 어떻게 해야하나요?
2632	OO은행입니다. 무엇을 도와드릴까요?
2633	통장 잔고 조회하려구요
2649	혹시 또 다른 문의사항 있으실까요?
2652	OO은행입니다. 무엇을 도와드릴까요?
2653	통장 잔고 조회하고싶어서요
2663	공인인증서만 발급 받으면되나요?
2665	등록하고나서는요?
2667	그리고요?
2675	그렇군요. 어떻게하면 되나요?
2693	거래내역 확인 하려구요
2697	다른 방법도 있나요?
