	고객답변
2899	ATM기로는 30만원 밖에 출금 못한다고 해서요
2901	네 쫌전에요
2903	네 고등학생이요
2909	토스 사용하고 있어요
2911	아하 그렇군요
2918	제가 받은 모바일 상품권이 있어요
2925	2020년 11월 25일이요
2927	네 제가 11월 30일날 사용예정이라서요
2933	제 눈에는 왜 안보일까요?
2935	고객센터에서도 연장할 수 있군요
2939	받긴 했는데 저희 지역엔 그 레스토랑이 없어요
2946	열어요? 클릭이요
2958	네 톡으로 왔거든요
2965	네 보여요
2967	아 그렇네요
2974	아 해보니 쉬운것 같아요
2978	베스킨라빈스요
2980	친구가 카카오톡 생일 선물로 보내줬어요?
3002	이런서비스 좋아요
3005	지금 카테고리 예요
3007	총금액에 각각 나눈금액도 나오는군요
3009	그렇네요, 카카오톡이랑, 문자로 나오네요
3011	간단히 카카오톡으로 해보려구요
3014	편리한 서비스네요
3018	지금 700만원이 필요해요
3034	지금 당장 갈께요
3039	받기만 했는데 한번 보내볼려구요
3042	네 카카오톡이 핸드폰에 있어요
3044	천천히 말해주면 제가 따라서 해볼께요
3047	네 했어요
3049	네 찾았어요
3053	아니요, 없어요
3055	그렇네요, 감사해요
3059	네 친구들이 사용하고 있어서 저도 해볼려구요
3063	했어요
3065	네 찾았어요
3069	자동연결 한적 없는데요
3071	아 새마을금고통장이요
3099	네 이체할려구요
3101	틀린번호를 5번 입력했나봐요
3103	뭔지 도통 생각이 안나요
3108	그니까요 너무 길어서 잊었나봐요
3113	자꾸 잊어서 다행이네요
3118	네 알아보려구요
3122	문자보내주세요
3124	인증 완료했어요
3126	생활자금이요
3128	네 제 명의로 되어 있어요
3130	아니요, 이후요
3132	네 살고 있어요
3134	00시 00 00길 000 이요
3138	네 통장 잔고가 자꾸 없어서 연체가 되네요
3141	00카드로 해주세요
3145	그러세요
3147	000이요
3151	OOOOOO-OOOOOO이요
3153	00카드요
3155	알겠어요
3159	제가 00카드가 있어요
3162	000이요
3164	주민번호가 OOOOOO-OOOOOO이요
3167	네 그카드로 신청할껀데요
3175	바꾸길 잘했네요
3178	카드납부로 바꿀려구요
3184	몰랐네요
3189	출금일이 따로 있군요
3214	용어가 많이 어렵네요. 다음에 다시 묻겠습니다.
3228	신용 등급이 낮을 수록 비싼 대가를 치루는군요
3230	반대로 등급이 높은면 싼 이자로 고액을 빌릴 수 있다는 얘기이구요.
3256	제가 여러군데 한번에 결제를 해야 하는데요.
3263	네 로그인 했어요.
3278	모르겠어요
3285	아 그렇군요. 
3298	아파트 관리비를 자동이체 신청 해놓았어요.
3301	네 알려주세요.
3305	네, 지금 접속할께요.
3307	네, 찾았어요.
3318	아니요. 날짜를 변경하고 싶은데요.
3322	네, 깔려있어요.
3324	로그인이 안되네요. 
3335	알겠어요.
3338	이체수수료, 자동화기기수수료, 환전수수료 등이요.
3341	네 안내해주세요.
3349	아 그거 참 좋네요.
3357	계좌 번호를 기록은 해뒀는데 매번 찾아보니 불편해서요
3372	아 그렇군요. 편리해서 좋네요.
3377	매번 입력하려니 귀찮아서요.
3385	아 그렇군요
3390	아 그렇군요.
3396	이체가 안되네요. 오랜만에 해서 뭐가 바뀐건지
3401	이상하네요. 12개월 이상 사용 안하지 않았어요.
3409	제가 여러계좌를 사용해서요.
3419	너무 오래되서 기억이 안나는데요.
3424	그렇군요.
3434	너무 적은대요.
3440	아 거의 다 되네요.
3445	불편하네요.
3492	그럼 영업점에 방문해야 겠네요.
3498	제가 실수로 50만원 더 이체했어요. 
3518	기억이 안납니다. 오래된 것 같아요.
3520	아 그렇군요.
3523	네, 그런데 인증이 안되는 것 같아 문의드렸어요.
3526	아 그렇군요.
3539	네 있어요
3545	네 했어요.
3570	아 그렇군요.
3586	문자보내기가 안보여요. 
3588	네, 지금 접속했어요.
3590	네, 했어요.
3599	네 있어요
3610	네, 우선 1회 이체한도만 증액하고 싶은데요.
3613	알겠어요.
3621	아 그렇군요.
3638	네 맞아요
3650	OO은행인데요.
3658	네, 인터넷 뱅킹 사용하고 있어요.
3666	네 그렇게 할께요.
3667	그럼 등록해 두지 않은 번호는 인터넷뱅킹에 매번 접속해야 할 수 있는 거네요.
3669	아, 그렇군요.
3678	네 얼마전에 바꿨어요
3686	공인인증서가 불편해서요.
3691	오픈뱅킹 앱을 깔고 싶어요. 
3694	네 그럼 은행 어플을 설치하는 것이 낫겠어요.
3697	 이체 빈도가 높은편이라서요.
3702	등급이요? 잘 모르겠어요
3706	일반 고객등급이네요. 
3709	아 그렇군요.
3723	실은 제가 인터넷뱅킹을 거의 안써요.
3731	그렇군요.
3740	인터넷 뱅킹을 잘 못해서요.
3747	아, 하고 있는데 찾기 어렵네됴. 잘 안보여요
3750	좀 더 자세히 말씀해 주세요.
3752	아 그게 쉽겠네요.
3758	모르겠어요. 안쓴지 좀 오래되서.
3762	아 그렇군요. 잠시만요
3764	네, 4년 다 되어 가네요.
3768	지금 급하게 돈을 송금해야 하는데요. 영업점에 갈 시간이 없어요.
3770	아니요. OTP만 사용하고 있습니다.
3803	외화통장으로 이체하려구요.
3808	만불을 보내야 하는데요.
3811	아 그렇군요.
3825	네, 1주일 전에요.
3827	기억이 안나네요.
3829	아 그런것 같은데 잊어버린 것 같아요.
3831	그러면 다시 또 가야 하는거네요.
3850	알겠어요.
3858	어 모르겠어요
3860	아 거기서 등록을 해야 하는군요. 
3862	그러면 출금계좌 등록도 스마트폰 앱에서도 되나요?
3864	한도제한계좌는 무엇인가요?
3868	한도가 엄청 작네요.
3873	너무 까다롭네요.
3878	네, 기본 비밀번호를 바꾸고 싶어요.
3882	현재 비밀번호 오류가 나버렸어요
3899	네 맞아요
3903	좋은 방법이있네요
3910	완전 편리하네요.
3919	네 설치했어요
3924	네 접속중이에요. 찾았어요.
3935	나중에 생기면 다시 문의할께요.
3938	과태료 고지서를 잃어버려서요.
3940	아 그거 다행이네요.
3952	네. 어쩔 수 없네요.
3969	네, 재산세 하나만 우선 납부하려구요.
3971	지로번호를 모르는데요.
3978	네 집에서 하고싶어요
3984	자동차세 전체를 납부하려구요.
3988	그럼 조회후 납부하면 되는군요.
4001	종이통장이 있는데 잃어버려서요.
4005	알겠어요.
4015	아 그렇군요. 감사합니다.
4039	아직 안했어요.
4044	아, 불편하네요.
4046	아 그렇게 하면 되겠군요.
4048	네 한가지 더 있는데요.
4061	아니요.
4069	네 설치되어 있어요.
4079	이름은 000, 000000인데요.
4095	전혀 몰랐네요.
4099	아뇨. 이번달만 미리 내고 싶어서요.
4103	아니요.
4114	아 그렇게 하면 되는군요.
4130	아 그렇군요.
4140	어머니가 편찮으셔서 병원에 수술하고 입원중이시라서요.
4143	네, 제가 대리 인출해서 어머니께 전달해 드리기로 했거든요.
4145	어머니께서 인터넷 뱅킹이 없으세요.
4152	알겠습니다. 어쩔 수 없네요.
4155	알겠어요.
4156	현금카드를 잃어버렸어요.
4165	아 그게 급한거군요
4168	네, 그럼 여기서 카드 분실신고 후 창구에 통장을 가져가서 출금하면 되겠네요.
4170	확실하지 않아요.
4172	아 그렇게 하면 되는군요.
4181	저도 로얄등급회원인데요.
4187	아 그렇군요.
4189	제 폰이 남편 명의라서요.
4195	감사해요.
4212	네 알겠어요.
4218	네, 인터넷 뱅킹에서요.
4226	그렇게 되는 거군요.
4239	스마트폰 앱은 이미 설치했는데요.
4250	아 그런거군요.
4253	아 그렇군요.
4255	아니에요. 스마트폰 앱알림 쓰죠.
4259	등록금 메뉴를 찾아도 안 보여서요.
4264	등록금 고지서를 잃어버렸어요.
4269	네, 한가지 더 있어요.
4273	네, 카드를 가지고 있어요.
4283	토스의 경우 월 5회만 무료이던데요.
4285	와 정말 좋네요.
4288	그럼 돈이 새지 않아서 좋네요.
4301	2개월 뒤에요.
4316	그렇군요. 
4321	네 선택했어요.
4329	파일 다운 받아 보아도 어려울 것 같네요.
4336	지금은 괜찮습니다. 추가 문의사항 생기면 다시 연락드릴께요.
4342	가령 추가서류가 필요한 경우라던가요.
4348	네, 신청인만 확인하면 되나요?
4352	저와 남편 공동명의인대요.
4354	이것도 인터넷으로 되는 건가요?
4359	대출금 일부를 상환하고 싶은데요.
4371	아 그렇게 되는군요. 그럼 우선 대출금 상환예상조회를 해 봐야 겠어요.
4381	저도 가능하다는 말씀이군요.
4383	이미 만기가 경과한 경우에는 어떻게 하나요?
4387	지금 접속해서 확인 좀 하고 싶은데요.
4391	상환하지 않고 기한만 연장하고 싶은데요.
4395	그럼 연장이 안되는 거네요.
4399	신청일 현재 개인대출을 보유중인 고객 중 신용등급이 상승한 고객은 금리인하를 요구하실 수 있습니다.
4415	그럼 우선 비대면 신청부터 할께요.
4419	거기에는 얼마부터 얼마까지 이렇게 안내되어 있던데요
4423	네 알겠어요.
4434	3년 이후 중도 상환하면 수수료가 없다는 거네요.
4438	이자를 2개월치 연체했어요.
4442	어렵네요. 제가 이해한 것이 맞는지 보세요.
4447	2개월 연체 시점부터는 이자가 엄청나게 올라가네요.
4454	네, 빨리 해결할게요.
4467	마이너스 통장 대출이 좋겠네요.
4483	네 그럼 대출이 가능할 것 같네요.
4496	네, 더 살펴보고 신청할께요.
4501	네네 5억은 넘지 않아요
4507	네, 그럼 가능할 것 같아요.
4519	상환방법에 따라 다른 것 같아서 복잡하네요.
4524	매월 같은 돈이 빠져나가게 하고 싶어요.
4540	생활비 대출을 신청했어요.
4560	직장인이에요.
4569	네 신혼부부에요.
4588	아 그렇군요
4595	아 다행이네요.
4603	대충 2~3% 사이네요. 
4610	아 그렇군요.
4613	그럼 우선 집주인과 먼저 이야기 해 본 후 문의드려야 겠네요.
4616	아니요, 감사합니다.
4619	아파트 담보대출요.
4621	아니요, 소유하고 있는 아파트를 담보로 대출하려구요.
4627	네? 아파트 시세가 5억인데요.
4631	네, 어쩔 수 없네요.
4639	아니요.
4644	아 저는 프리랜서라서 신분증과 소득금액증명원만 있어요.
4647	아니요, 없어요.
4661	그렇군요.
4666	아 그렇게 간단해요? 좋네요.
4668	네, 도와주세요.
4670	네, 잠시만요.
4672	네, 접속했어요.
4674	네, 했어요.
4688	1억 2천만요.
4692	아 그렇군요.
4699	저는 중소기업에 다니고 있어요.
4701	이제 한달 되었어요.
4705	네, 그럼 3개월 지나 방문해야 겠네요.
4710	네 알겠어요.
4739	아 그렇군요.
4746	네, 지금 하고 싶은데요.
4748	네, 스마트폰뱅킹에 접속했어요.
4750	네, 이동했어요.
4761	아 그렇군요. 
4772	네, 했어요.
4774	아 다행이네요.
4780	네 부탁 드릴게요
4789	생각 좀 해 보고 신청하게요.
4794	나중에 하려니 문자가 편할 것 같네요.
4797	아파트 담보대출 받으려는데요
4799	직전년도 소득금액 증빙 제출이 어려워서요.
4811	아파트 감정시세가 약 4억원이던데요.
4817	아직 나이가 24세 라서요
4830	3000만원 정도 대출받고 싶은데요.
4836	오프뱅킹앱을 깔았는데요.
4841	아 그거 편리하네요.
4863	없어요
4866	그런데 검토를 받고 대출 실행을 안할 수도 있는데요.
4877	뉴스에서 보니 무주택자는 버팀목 전세대출 받을 수 있다고 해서요.
4901	네 신혼부부에요
4918	직장인 햇살론을 받고 싶어서요.
4928	금리가 너무 높네요.
4931	네, 그럼 조회 가능할까요?
4933	네, 확인했어요.
4938	제가 신용등급이 낮은 편이라서요.
4941	네, 더 자세히 알고 싶어요.
4952	창업자금으로 받고 싶은데요.
4960	네, 정기예금이 있어요.
4964	아 그렇군요.
4965	그걸로 신청하고 싶은데요.
5012	아 그렇군요. 감사합니다.
5020	1주일 됬어요. 영업일 기준으로 5일요.
5023	아니요, 아무런 안내를 받지 못했어요.
5027	전화 못 받았는데요.
5031	제가 전화를 못 받으면 담당자에게 문자를 남겨달라고 해주세요.
5033	급해서요. 빨리 부탁드립니다.
5038	제가 집 전화가 없는데요.
5046	제가 파일 첨부가 에러가 나서요.
5055	네 알겠어요.
5060	네, 조정지역 아니거든요.
5066	네, 시세가 오르는 추세라서 제가 구입하는 가격이 더 높아요.
5068	아 그렇군요.
5074	네 도움이 되었어요.
5089	전화로 하고 싶어요.
5094	이외에 소상공인이 받을 수 있는 추가 대출상품 있으면 안내 받고 싶어요.
5104	그렇군요.
5107	네 편리하네요.
5118	깜빡잊고 계좌에 이자금액을 넣어 놓지 않았어요.
5120	안낸지 10일 정도 된 것 같아요.
5123	받았는데 정신이 없어서 이제 내려구요.
5135	아 그렇군요.
5137	제 마이너스 대출만기라서요.
5141	네, 이름은 OOO이고 주빈번호는 OOOOOOO이에요.
5145	바빠서 전화로 처리하고 싶은데요.
5151	어쩔 수 없네요.
5154	인터넷뱅킹에 접속해서 서류 제출된다는 거네요.
5158	네 가지고 있어요
5160	네. 그래요
5178	아니요.
5184	생년월일만 나와있어요.
5233	아니요. 아이핀 등록도 안 되어 있는데요.
5237	OO은행 빅카드요
5265	200만원이요. 
5267	10장 주세요. 
5269	적당히 나눠서 주세요
5308	용어가 많이 어렵네요. 다음에 다시 묻겠습니다.
5322	신용 등급이 낮을 수록 비싼 대가를 치루는군요
5324	반대로 등급이 높은면 싼 이자로 고액을 빌릴 수 있다는 얘기이구요.
5359	네,그럼 그렇게 진행해주세요
5373	담보대출이요.
5390	아, 그렇군요.
5453	담보 대출로 알아봐 주세요
5474	은행가려니 좀 바쁘긴 하네요
5478	네 할께요
5480	네 운전면허증이요
5484	00은행 가능해요
5488	아,,바로되네요, 감사합니다
5494	진짜요?
5497	통장에 잔액은 있어요
5512	5천만원이요
5514	5천만원짜리 한장으로 받았아요
5518	다행이네요
5529	전화부터 해봐야겠네요
5532	네 백만원권 수표 6장이요
5534	그래야 할 것 같아요
5555	맞아요 편하겠더라구요
5563	네.했어요.
5565	간단했군요
5567	아니요 감사해요
5569	네. 수고하세요.
5581	아하. 가야하군요
5587	좋네요
5589	네. 수고하세요.
5595	아… 네 찾아볼게요
5597	네 있어요
5603	간단하네요
5608	아니요. 없습니다.
5613	건당 500원이면 비싸네요
5617	건당 500원이면 비싸네요
5625	네, 그렇군요.
5627	아니요. 없습니다.
5633	금액을 줄이려구요
5639	네.했어요.
5645	네 됐어요 고맙습니다.
5647	아니요. 없습니다.
5649	네. 수고하세요.
5653	다행이예요
5661	네 로그인 했어요
5665	어 되네요 감사합니다.
5667	아니요.없습니다.
5669	네. 수고하세요.
5675	그렇군요.
5685	네.그렇군요.
5687	아니요.없습니다.
5689	네. 수고하세요.
5695	다행이네요
5701	네.그렇군요.
5703	네, 하나만 더 물어볼게요
5708	아니요. 없습니다.
5715	그렇군요,
5721	다행이네요
5723	네 한가지만 더요
5728	아니요 고맙습니다.
5735	네 편하네요
5741	그건 좀 그렇네요
5743	네, 하나만 더 물어볼게요
5757	바로 안되는군요…
5759	고객별 한도도 있군요.
5767	아니요. 없습니다.
5775	아 시간이 좀 걸리는군요
5777	네 한가지만 더요
5783	간단하네요
5788	아니요 고마워요
5797	아 무슨 말인지 이해는 되네요
5801	알겠어요
5805	그정도면 되겠네요. 
5807	아니요. 없습니다.
5821	빨리 가서 처리해야 겠네요
5825	오케이 알겠어요
5827	아니요 괜찮아요
5833	보안카드요
5837	해결해주세요
5841	변경만 하면 되는군요. 간단하네요
5845	와우 당장 만들어야 겠네요
5847	없어요
5861	아.. 보이네요
5867	알겠어요
5869	네 수고하세요
5877	했어요
5883	네 보여요
5885	와 진짜네요
5887	아니요 없어요
5889	고마워요
5893	다행이네요 처리부탁드려요
5899	네 개인이예요
5901	네. 찾았어요
5903	네 눌렀어요
5905	아 조회되네요 
5907	고마워요
5913	네.  안내해주세요
5915	네 꼼꼼히 적었어요
5917	네 확인했어요
5919	알겠어요
